family	paralog_name	paralog_type	classification	mean_TPM	median_TPM	max_TPM	tissues_detected	samples_detected	pct_samples	pearson_r_vs_parent	pearson_pvalue	tissue_specificity
Aadac	Aadac-l1	l	supported	53.0609	12.2730	271.4730	6	29	100.0000	0.7792	0.0677	0.3623
Aadac	Aadac-l2	l	low expression	14.1999	0.1730	180.4577	5	18	62.0690	-0.0465	0.9304	0.9671
Aadac	Aadac-l3	l	parent correlated	47.3018	13.1171	324.3238	6	29	100.0000	0.8948	0.0160	0.2799
Aadacl4	Aadacl4-l1	l	low expression	14.0981	0.0000	233.9915	3	9	31.0345	0.9921	0.0001	0.9889
Aadacl4	Aadacl4-l2	l	low expression	3.9472	0.0000	61.6697	4	11	37.9310	0.9862	0.0003	0.9659
Aadacl4	Aadacl4-l3	l	supported	6.5743	1.0574	61.5517	6	29	100.0000	0.7894	0.0619	0.5103
Aasdhppt	Aasdhppt-l1	l	parent correlated	275.8859	169.7439	1007.7056	6	29	100.0000	0.9757	0.0009	0.2016
Abca3	Abca3-l1	l	supported	6.8411	4.3948	18.6353	6	29	100.0000	0.5257	0.2841	0.1973
Abcb1	Abcb1-l1	l	supported	13.3971	8.1327	55.0531	6	29	100.0000	-0.2888	0.5789	0.2010
Abcg2	Abcg2-l1	l	supported	13.9805	9.1242	42.8732	6	29	100.0000	0.1760	0.7388	0.1177
Abcg2	Abcg2-l2	l	supported	32.2257	23.0579	93.7438	6	29	100.0000	0.6844	0.1337	0.0968
Abraxas2	Abraxas2-dl1	dl	supported	72.0812	61.9881	119.5173	6	29	100.0000	0.4320	0.3924	0.0193
Acad9	Acad9-l1	l	supported	132.5121	102.2231	367.4769	6	29	100.0000	0.4480	0.3730	0.0862
Acbd5	Acbd5-l1	l	parent correlated	240.3438	196.2897	648.2471	6	29	100.0000	0.8933	0.0165	0.0925
Accsl	Accsl-l1	l	low expression	0.0097	0.0000	0.1819	2	2	6.8966	0.7824	0.0659	0.6527
Accsl	Accsl-l2	l	low expression	0.2547	0.0000	2.1718	6	12	41.3793	0.6203	0.1889	0.2086
Aco1	Aco1-l1	l	parent correlated	1550.1553	1104.0960	5365.8031	6	29	100.0000	0.9929	0.0001	0.1826
Acot13	Acot13-dl1	dl	parent correlated	72.6690	69.1510	177.1194	6	29	100.0000	0.9521	0.0034	0.0913
Acot13	Acot13-dl2	dl	parent correlated	66.1812	54.0736	181.8354	6	24	82.7586	0.9681	0.0015	0.2378
Acot13	Acot13-dl3	dl	parent correlated	1089.3748	1158.3220	3060.2834	6	29	100.0000	0.9972	0.0000	0.2337
Acot2	Acot2-dl1	dl	supported	364.8440	321.8607	904.9177	6	29	100.0000	0.7465	0.0882	0.0386
Acp1	Acp1-l1	l	supported	10.0057	6.1543	45.9614	6	27	93.1034	0.7205	0.1062	0.1729
Acsbg2	Acsbg2-l1	l	supported	2.2546	1.7562	8.3424	6	23	79.3103	0.4991	0.3135	0.2221
Actb	Actb-dl1	dl	parent correlated	1894.0478	1250.8251	5198.2167	6	29	100.0000	0.9970	0.0000	0.0904
Actb	Actb-l1	l	low expression	0.7847	0.0000	13.5353	4	4	13.7931	-0.0238	0.9643	0.5322
Adam1a	Adam1a-l1	l	supported	3.5015	1.8072	19.0546	6	26	89.6552	0.7428	0.0907	0.1564
Adam20	Adam20-l1	l	low expression	1.1475	0.4237	7.6538	6	17	58.6207	0.6182	0.1908	0.1463
Adam20	Adam20-l2	l	low expression	1.2822	0.0000	14.6192	4	10	34.4828	-0.1429	0.7872	0.5498
Adam20	Adam20-l3	l	low expression	0.1111	0.0000	1.1562	3	4	13.7931	0.4587	0.3602	0.4237
Adh5	Adh5-l1	l	parent correlated	3481.0433	2068.1050	8906.7148	6	29	100.0000	0.9611	0.0022	0.1334
Adh7	Adh7-l1	l	low expression	0.4232	0.2415	2.3520	6	22	75.8621	0.7529	0.0841	0.2526
Adrm1	Adrm1-dl1	dl	supported	652.8214	614.2811	1126.4418	6	29	100.0000	0.4525	0.3676	0.0189
Aff1	Aff1-l1	l	parent correlated	1.2500	0.6595	3.5868	6	29	100.0000	0.9653	0.0018	0.1371
Ahsa1	Ahsa1-dl1	dl	parent correlated	260.1682	250.2598	416.3496	6	29	100.0000	0.8462	0.0337	0.0316
Aif1l	Aif1l-dl1	dl	supported	1172.1908	296.3979	5524.6866	6	28	96.5517	0.7035	0.1188	0.4527
Ak6	Ak6-l1	l	supported	183.6926	184.8330	300.9412	6	29	100.0000	0.2946	0.5709	0.0127
Akirin1	Akirin1-dl1	dl	parent correlated	18.1970	13.8489	46.5961	6	29	100.0000	0.9568	0.0028	0.0920
Akr1a1	Akr1a1-dl1	dl	parent correlated	3515.5140	1066.6850	9930.8763	6	29	100.0000	0.9936	0.0001	0.2797
Akr1b1	Akr1b1-dl1	dl	parent correlated	205.6572	177.7183	511.1865	6	29	100.0000	0.9879	0.0002	0.1128
Akr1b1	Akr1b1-dl2	dl	parent correlated	139.0221	116.2347	348.7182	6	29	100.0000	0.9857	0.0003	0.1048
Akr1b1	Akr1b1-dl3	dl	parent correlated	35.6195	33.8743	111.2904	6	29	100.0000	0.9981	0.0000	0.0875
Akr1b8	Akr1b8-dl1	dl	parent correlated	55.0427	43.3860	186.5046	6	29	100.0000	0.9822	0.0005	0.1053
Akr1b8	Akr1b8-dl2	dl	parent correlated	12.8014	7.2690	56.6473	6	25	86.2069	0.9576	0.0027	0.1625
Akr1b8	Akr1b8-dl3	dl	parent correlated	4.4591	1.2192	28.3237	5	15	51.7241	0.9544	0.0031	0.3764
Akr1b8	Akr1b8-rl1	rl	supported	57.1429	6.5919	328.1177	6	29	100.0000	-0.4047	0.4260	0.5709
Aldh1a1	Aldh1a1-l1	l	parent correlated	194.9611	168.1504	407.5427	6	29	100.0000	0.8289	0.0414	0.1031
Alox12e	Alox12e-l1	l	low expression	0.6301	0.1251	5.2569	6	29	100.0000	0.7886	0.0623	0.6090
Alpi	Alpi-l1	l	supported	14.6303	10.1240	39.6504	6	29	100.0000	0.1461	0.7824	0.1075
Alyref	Alyref-dl1	dl	supported	250.7421	222.8977	488.8496	6	29	100.0000	0.7094	0.1144	0.0405
Alyref	Alyref-dl2	dl	parent correlated	33.0014	28.3350	89.5955	6	29	100.0000	0.8662	0.0257	0.0614
Amd1	Amd1-dl1	dl	parent correlated	76.1252	67.4098	183.9877	6	29	100.0000	0.9877	0.0002	0.0389
Amd1	Amd1-dl2	dl	low expression	0.2638	0.0000	3.7069	5	7	24.1379	0.0111	0.9833	0.3026
Amd1	Amd1-dl3	dl	low expression	0.3169	0.0000	2.0868	4	8	27.5862	0.4556	0.3638	0.2266
Amd1	Amd1-dl4	dl	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Amy1	Amy1-l1	l	parent correlated	243.8646	40.7287	1642.0118	6	29	100.0000	0.9711	0.0012	0.5423
Anapc10	Anapc10-l1	l	supported	150.1340	143.2670	245.7102	6	29	100.0000	0.6337	0.1766	0.0203
Anapc16	Anapc16-dl1	dl	supported	17.3365	14.8593	41.5371	6	29	100.0000	0.6659	0.1488	0.0220
Angpt4	Angpt4-l1	l	low expression	0.0111	0.0000	0.2092	1	2	6.8966	-0.3134	0.5452	1.0000
Angpt4	Angpt4-l2	l	supported	2.3367	1.7690	6.6423	6	29	100.0000	-0.4992	0.3134	0.0968
Anp32b	Anp32b-l1	l	supported	373.9378	338.3216	624.9246	6	29	100.0000	0.7103	0.1137	0.0163
Antxrl	Antxrl-l1	l	low expression	0.2567	0.1062	0.8864	6	26	89.6552	0.5755	0.2321	0.1680
Anxa1	Anxa1-l1	l	parent correlated	379.5439	149.6646	1245.1414	6	29	100.0000	0.9999	0.0000	0.2954
Ap1ar	Ap1ar-l1	l	parent correlated	38.8173	26.5307	109.7979	6	29	100.0000	0.9206	0.0092	0.1167
Ap2b1	Ap2b1-l1	l	parent correlated	225.0586	137.6239	708.9701	6	29	100.0000	0.8870	0.0184	0.1679
Ap3s1	Ap3s1-l1	l	parent correlated	4.4097	3.0124	18.0007	6	23	79.3103	0.9011	0.0142	0.0801
Ap3s1	Ap3s1-l2	l	supported	70.2443	71.9150	153.9055	6	29	100.0000	0.7632	0.0775	0.0548
Apol3	Apol3-l1	l	supported	88.1472	28.5053	407.9453	6	29	100.0000	0.1197	0.8214	0.2692
Apol3	Apol3-l2	l	low expression	0.5119	0.1318	3.0919	6	16	55.1724	0.8142	0.0486	0.1385
Apol3	Apol3-l3	l	supported	14.1778	13.0033	37.3321	6	29	100.0000	-0.2820	0.5883	0.1417
Apol3	Apol3-l4	l	supported	19.4179	6.5902	93.5916	6	29	100.0000	0.1384	0.7937	0.3642
Apol3	Apol3-l5	l	low expression	0.2651	0.0922	1.6664	6	17	58.6207	-0.0099	0.9852	0.0439
Apol3	Apol3-l6	l	supported	39.2950	12.9879	169.7902	5	24	82.7586	-0.0646	0.9033	0.3001
Apol6	Apol6-l1	l	supported	124.7413	22.5775	1072.3923	6	29	100.0000	0.3787	0.4591	0.5895
Apool	Apool-l1	l	supported	2.3006	1.8658	6.7457	6	28	96.5517	0.2447	0.6403	0.0977
Arf4	Arf4-l1	l	parent correlated	91.7292	79.3536	173.4047	6	29	100.0000	0.9244	0.0084	0.0288
Arhgdia	Arhgdia-l1	l	parent correlated	720.4260	564.0667	1318.5521	6	29	100.0000	0.9666	0.0017	0.0405
Arl1	Arl1-l1	l	parent correlated	294.9547	287.2466	424.6825	6	29	100.0000	0.9684	0.0015	0.0114
Arl2	Arl2-l1	l	parent correlated	82.4833	67.4117	183.5245	6	29	100.0000	0.9653	0.0018	0.0442
Arl2bp	Arl2bp-l1	l	parent correlated	280.1027	197.6939	870.5156	6	29	100.0000	0.9730	0.0011	0.1705
Armc3	Armc3-l1	l	parent correlated	8.6876	9.6046	17.3524	6	29	100.0000	0.9373	0.0058	0.0505
Arpc1a	Arpc1a-dl1	dl	parent correlated	393.8816	276.4052	1079.2081	6	29	100.0000	0.9633	0.0020	0.1152
Arpc1a	Arpc1a-dl2	dl	parent correlated	444.7648	312.3895	1152.0721	6	29	100.0000	0.9616	0.0022	0.1000
Arpc1b	Arpc1b-dl1	dl	supported	3.7706	1.4694	31.0675	6	22	75.8621	0.7170	0.1088	0.2181
Arpc3	Arpc3-dl1	dl	parent correlated	5682.2021	5028.9503	9091.5897	6	29	100.0000	0.8833	0.0196	0.0201
Arpc5	Arpc5-dl1	dl	low expression	0.2873	0.0000	4.5236	2	2	6.8966	0.6896	0.1296	0.6152
Arpc5	Arpc5-dl2	dl	low expression	0.0441	0.0000	1.2798	1	1	3.4483	-0.3579	0.4861	1.0000
Arpc5	Arpc5-dl3	dl	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Arpc5	Arpc5-dl4	dl	parent correlated	46.7366	37.4258	106.1858	6	29	100.0000	0.9797	0.0006	0.0601
Arpc5	Arpc5-dl5	dl	parent correlated	734.8212	532.8244	1614.3223	6	29	100.0000	0.9840	0.0004	0.0699
Arpp19	Arpp19-l1	l	parent correlated	196.1356	135.8187	617.2588	6	29	100.0000	0.9746	0.0010	0.1479
Asns	Asns-l1	l	supported	218.8622	233.8523	376.0230	6	29	100.0000	0.5929	0.2148	0.0176
Asrgl1	Asrgl1-l1	l	supported	69.3392	46.4098	153.9494	6	29	100.0000	-0.0870	0.8698	0.0842
Ass1	Ass1-dl1	dl	parent correlated	3482.1729	323.0372	19275.0030	6	29	100.0000	0.8820	0.0201	0.5435
Ass1	Ass1-dl2	dl	parent correlated	153.7955	22.5320	937.8426	6	28	96.5517	0.8576	0.0290	0.5170
Ass1	Ass1-dl3	dl	parent correlated	199.5698	20.8865	1221.3692	6	28	96.5517	0.8673	0.0252	0.5446
Atf1	Atf1-l1	l	supported	142.1779	135.7302	209.9907	6	29	100.0000	0.7525	0.0843	0.0134
Atg12	Atg12-dl1	dl	supported	122.3947	121.8596	259.0884	6	29	100.0000	0.3235	0.5317	0.0158
Atg12	Atg12-dl2	dl	parent correlated	81.1139	75.7227	148.6113	6	29	100.0000	0.8316	0.0402	0.0069
Atg4d	Atg4d-l1	l	supported	212.0702	205.9509	413.3646	6	29	100.0000	0.7701	0.0732	0.0297
Atp1b3	Atp1b3-l1	l	parent correlated	639.5011	649.6013	1182.7751	6	29	100.0000	0.9535	0.0032	0.0568
Atp5f1b	Atp5f1b-dl1	dl	parent correlated	5832.7993	5044.1525	11929.0824	6	29	100.0000	0.9986	0.0000	0.0971
Atp5f1b	Atp5f1b-l1	l	parent correlated	184.9144	166.0305	352.1309	6	29	100.0000	0.9950	0.0000	0.0677
Atp5f1c	Atp5f1c-l1	l	supported	19.5221	4.1155	74.1654	6	29	100.0000	0.5968	0.2111	0.2686
Atp5f1e	Atp5f1e-dl1	dl	parent correlated	463.1000	420.9177	729.2571	6	29	100.0000	0.9808	0.0006	0.0180
Atp5mc3	Atp5mc3-l1	l	parent correlated	1903.4660	1396.4983	5695.4008	6	29	100.0000	0.9994	0.0000	0.1622
Atp5me	Atp5me-dl1	dl	supported	30.7261	27.4424	90.0194	6	29	100.0000	0.5865	0.2212	0.0537
Atp5me	Atp5me-dl2	dl	parent correlated	1475.8879	1050.7304	4034.1713	6	29	100.0000	0.9889	0.0002	0.1158
Atp5mf	Atp5mf-dl1	dl	low expression	1.3653	0.0000	15.7996	3	5	17.2414	-0.6403	0.1708	0.4931
Atp5mf	Atp5mf-dl2	dl	supported	1859.6916	1602.6824	3786.1102	6	29	100.0000	0.5413	0.2674	0.0681
Atp5mf	Atp5mf-dl3	dl	supported	47.9799	37.2059	114.9138	6	29	100.0000	0.3968	0.4361	0.0361
Atp5mf	Atp5mf-dl4	dl	unsupported	0.0000	0.0000	0.0000	0	0	0.0000			1.0000
Atp5mk	Atp5mk-dl1	dl	parent correlated	1930.7169	1421.7780	5292.9358	6	29	100.0000	0.9960	0.0000	0.1145
Atp5mk	Atp5mk-dl2	dl	parent correlated	3393.8366	2493.8541	9320.7405	6	29	100.0000	0.9945	0.0000	0.1159
Atp5mk	Atp5mk-dl3	dl	parent correlated	313.6839	230.5731	842.3452	6	29	100.0000	0.9581	0.0026	0.1077
Atp5mk	Atp5mk-l1	l	parent correlated	738.0514	515.5532	2260.0641	6	29	100.0000	0.9811	0.0005	0.1567
Atp5mpl	Atp5mpl-l1	l	parent correlated	42.6726	37.5044	169.1949	6	25	86.2069	0.8930	0.0166	0.1280
Atp5mpl	Atp5mpl-l2	l	parent correlated	284.0660	202.2469	889.7190	6	28	96.5517	0.8879	0.0181	0.1546
Atp6v0d1	Atp6v0d1-dl1	dl	supported	1701.2851	1695.0927	4193.8563	6	29	100.0000	0.7807	0.0669	0.1145
Atp6v1b2	Atp6v1b2-l1	l	parent correlated	808.8768	348.3422	3360.9595	6	29	100.0000	0.9785	0.0007	0.3854
Atp6v1c1	Atp6v1c1-l1	l	parent correlated	658.3113	409.9519	1966.1325	6	29	100.0000	0.9891	0.0002	0.1461
Atp6v1g1	Atp6v1g1-dl1	dl	robust expression	1060.1289	860.6345	2434.4836	6	29	100.0000			0.0592
Atp6v1g1	Atp6v1g1-dl2	dl	robust expression	147.3879	121.6290	489.3998	6	29	100.0000			0.0453
Atrn	Atrn-l1	l	supported	3.8235	0.9391	21.6651	6	29	100.0000	0.6617	0.1523	0.5336
Atxn7l3b	Atxn7l3b-dl1	dl	robust expression	662.0732	465.9404	1940.7555	6	29	100.0000			0.1391
Atxn7l3b	Atxn7l3b-dl2	dl	robust expression	365.5502	262.3014	1039.2745	6	29	100.0000			0.1342
Auts2	Auts2-l1	l	parent correlated	17.0134	10.7379	80.3309	6	29	100.0000	0.9918	0.0001	0.1955
Bccip	Bccip-dl1	dl	parent correlated	86.8024	80.1257	169.2405	6	29	100.0000	0.8036	0.0541	0.0045
Bcorl1	Bcorl1-l1	l	supported	12.7234	11.6219	27.0021	6	29	100.0000	0.1225	0.8172	0.0395
Bdp1	Bdp1-l1	l	parent correlated	21.3134	10.8068	114.6579	6	29	100.0000	0.9170	0.0101	0.2167
Birc5	Birc5-dl1	dl	parent correlated	3.7419	3.2641	12.9152	6	20	68.9655	0.8247	0.0434	0.0874
Bloc1s1	Bloc1s1-dl1	dl	parent correlated	11.9727	11.0516	32.7871	6	28	96.5517	0.8393	0.0366	0.0605
Bloc1s1	Bloc1s1-dl2	dl	low expression	0.3474	0.0000	5.1919	2	2	6.8966	0.3779	0.4601	0.6173
Bloc1s2	Bloc1s2-l1	l	low expression	0.0181	0.0000	0.3342	2	2	6.8966	-0.0296	0.9555	0.6338
Bloc1s5	Bloc1s5-dl1	dl	supported	45.9469	45.2743	97.9319	6	28	96.5517	-0.1132	0.8309	0.0617
Bloc1s6	Bloc1s6-dl1	dl	parent correlated	28.6860	22.0066	108.1815	6	27	93.1034	0.8348	0.0387	0.0435
Bloc1s6	Bloc1s6-dl2	dl	supported	19.6171	17.3714	51.8741	6	25	86.2069	0.4039	0.4271	0.0664
Bmp8b	Bmp8b-l1	l	supported	2.6068	1.9611	8.3262	6	29	100.0000	0.5668	0.2409	0.1030
Bmper	Bmper-l1	l	parent correlated	2.6936	0.7890	17.6380	6	28	96.5517	0.9220	0.0089	0.3653
Bnip3	Bnip3-dl1	dl	parent correlated	566.4271	524.4347	1326.2155	6	29	100.0000	0.9790	0.0007	0.0663
Bod1	Bod1-dl1	dl	supported	181.5006	182.0773	326.5536	6	29	100.0000	0.7040	0.1184	0.0248
Brcc3	Brcc3-l1	l	supported	72.6175	69.3945	125.4823	6	29	100.0000	0.6860	0.1324	0.0198
Brk1	Brk1-dl1	dl	parent correlated	230.2400	215.2624	443.1599	6	29	100.0000	0.9546	0.0030	0.0232
Brwd1	Brwd1-l1	l	supported	25.8493	15.7514	88.9130	6	29	100.0000	0.7687	0.0740	0.1814
Btf3l4	Btf3l4-l1	l	parent correlated	312.4870	265.9269	652.0768	6	29	100.0000	0.8314	0.0402	0.0283
Btg1	Btg1-dl1	dl	parent correlated	839.5862	590.2349	2641.4308	6	29	100.0000	0.9961	0.0000	0.0910
Btn1a1	Btn1a1-l1	l	supported	87.4725	63.5170	209.5621	6	29	100.0000	0.6421	0.1692	0.0919
Btnl8	Btnl8-l1	l	supported	3.1536	3.1184	6.8337	6	29	100.0000	-0.1331	0.8015	0.0815
C4bpa	C4bpa-l1	l	low expression	11.7124	0.2370	68.4519	6	15	51.7241	0.9167	0.0101	0.5215
C4bpa	C4bpa-l2	l	supported	25.6335	0.7610	155.1445	6	21	72.4138	0.6855	0.1328	0.6646
C5	C5-l1	l	supported	190.5355	1.7537	1355.3303	6	28	96.5517	0.5959	0.2120	0.7714
C5	C5-l2	l	supported	249.5554	6.3981	1623.0999	6	29	100.0000	0.7180	0.1081	0.7290
Calm	Calm-l1	l	parent correlated	111.1502	61.1646	337.2808	6	29	100.0000	0.9971	0.0000	0.1651
Calm	Calm-l2	l	parent correlated	221.5020	144.9255	580.3714	6	29	100.0000	0.9857	0.0003	0.1237
Calr	Calr-l1	l	low expression	19.6831	0.1145	203.1667	6	23	79.3103	-0.8253	0.0431	0.9720
Camp	Camp-l1	l	parent correlated	16.3802	5.3228	73.0039	6	24	82.7586	0.9159	0.0103	0.3104
Capza1	Capza1-l1	l	parent correlated	88.6408	80.6311	181.9121	6	29	100.0000	0.9275	0.0077	0.0419
Capza1	Capza1-l2	l	parent correlated	24.4463	17.9477	54.9631	6	29	100.0000	0.9142	0.0107	0.0583
Casp3	Casp3-l1	l	parent correlated	72.4672	62.7483	149.6253	6	29	100.0000	0.8548	0.0301	0.0280
Casp6	Casp6-dl1	dl	parent correlated	144.3588	158.3109	347.4441	6	29	100.0000	0.9944	0.0000	0.1176
Cbr1	Cbr1-l1	l	supported	438.1170	353.7209	1286.8070	6	29	100.0000	-0.3915	0.4427	0.1142
Ccdc115	Ccdc115-l1	l	parent correlated	133.2055	142.0398	222.8550	6	29	100.0000	0.9528	0.0033	0.0309
Ccdc167	Ccdc167-l1	l	supported	2.0144	1.6314	11.0031	6	21	72.4138	0.7099	0.1140	0.1494
Ccdc25	Ccdc25-dl1	dl	supported	1155.8485	1096.2873	1823.0159	6	29	100.0000	0.7838	0.0651	0.0156
Ccdc28a	Ccdc28a-l1	l	parent correlated	227.8665	222.5650	399.8292	6	29	100.0000	0.8261	0.0427	0.0755
Ccdc43	Ccdc43-l1	l	parent correlated	280.6259	233.8467	594.0746	6	29	100.0000	0.9716	0.0012	0.0367
Ccdc59	Ccdc59-dl1	dl	supported	194.7552	172.8255	332.5546	6	29	100.0000	0.2430	0.6427	0.0048
Ccdc91	Ccdc91-l1	l	supported	357.4752	335.8023	656.0166	6	29	100.0000	0.3941	0.4395	0.0437
Ccl2	Ccl2-l1	l	parent correlated	216.4877	82.2637	820.5029	6	29	100.0000	0.9885	0.0002	0.2872
Ccl3	Ccl3-l1	l	supported	31.0179	0.6671	251.6834	5	17	58.6207	-0.2659	0.6105	0.8305
Ccl3	Ccl3-l2	l	supported	53.7442	1.2880	456.3753	6	20	68.9655	-0.4947	0.3185	0.5800
Ccl3l1	Ccl3l1-l1	l	parent correlated	11.7376	0.9065	98.3245	6	17	58.6207	0.9768	0.0008	0.6407
Ccl4	Ccl4-l1	l	parent correlated	41.6082	13.9871	393.6072	6	28	96.5517	0.9992	0.0000	0.4359
Ccl4	Ccl4-l2	l	parent correlated	65.8630	10.1708	687.3756	6	25	86.2069	0.9325	0.0067	0.5774
Ccnb1	Ccnb1-dl1	dl	low expression	2.1726	0.0000	37.2562	5	9	31.0345	0.8773	0.0217	0.6358
Ccnb1	Ccnb1-dl2	dl	supported	4.6492	1.8254	23.0912	6	25	86.2069	0.4363	0.3871	0.3962
Ccnb1	Ccnb1-dl3	dl	low expression	0.9926	0.0000	9.6819	4	9	31.0345	0.5759	0.2317	0.4213
Ccnb1	Ccnb1-dl4	dl	supported	3.0794	0.8645	19.7078	6	18	62.0690	0.5802	0.2273	0.2920
Ccnb1	Ccnb1-dl5	dl	supported	10.8193	7.1479	46.7635	6	23	79.3103	0.4162	0.4117	0.0610
Ccnb1	Ccnb1-dl6	dl	low expression	1.3860	0.0000	19.3180	5	10	34.4828	0.7564	0.0818	0.4118
Ccnb1	Ccnb1-dl7	dl	parent correlated	22.1815	5.8164	340.8253	6	26	89.6552	0.9111	0.0115	0.5310
Ccnq	Ccnq-dl1	dl	parent correlated	78.3758	73.5460	144.8409	6	29	100.0000	0.9003	0.0144	0.0267
Ccr1	Ccr1-l1	l	parent correlated	88.6822	22.8258	376.2173	6	29	100.0000	0.9916	0.0001	0.3875
Cct2	Cct2-l1	l	supported	120.4534	114.0330	170.8914	6	29	100.0000	0.7957	0.0583	0.0136
Cct3	Cct3-dl1	dl	supported	36.8620	35.0352	60.2628	6	29	100.0000	-0.3993	0.4329	0.0073
Cct3	Cct3-dl2	dl	supported	689.8724	699.9282	932.5386	6	29	100.0000	-0.0508	0.9239	0.0036
Cct3	Cct3-l1	l	supported	71.0318	70.6185	116.4478	6	29	100.0000	0.3401	0.5095	0.0027
Cct4	Cct4-dl1	dl	supported	436.0585	401.9663	691.2080	6	29	100.0000	0.6732	0.1427	0.0176
Cct4	Cct4-dl2	dl	supported	334.1492	314.4850	505.3663	6	29	100.0000	0.5171	0.2934	0.0110
Cct5	Cct5-l1	l	parent correlated	271.0256	287.4707	354.1943	6	29	100.0000	0.9700	0.0013	0.0092
Cct6a	Cct6a-l1	l	parent correlated	475.8509	476.9309	740.1202	6	29	100.0000	0.9313	0.0069	0.0113
Cct7	Cct7-dl1	dl	supported	90.9983	92.5374	130.1028	6	29	100.0000	0.6751	0.1412	0.0073
Cct7	Cct7-dl2	dl	supported	12.8133	11.0771	34.2363	6	26	89.6552	0.3085	0.5519	0.0409
Cct7	Cct7-dl3	dl	parent correlated	8.0396	6.5457	37.7252	6	27	93.1034	0.8420	0.0355	0.0710
Cct7	Cct7-dl4	dl	parent correlated	19.0660	18.1612	38.9119	6	29	100.0000	0.8457	0.0339	0.0171
Cct7	Cct7-dl5	dl	parent correlated	18.4120	17.4667	36.7697	6	28	96.5517	0.8914	0.0171	0.0126
Cct7	Cct7-l1	l	supported	19.2599	20.4847	46.1403	6	26	89.6552	-0.0130	0.9806	0.0253
Cct7	Cct7-l2	l	parent correlated	8.0478	7.8488	16.1803	6	29	100.0000	0.9108	0.0116	0.0239
Cd164	Cd164-dl1	dl	supported	202.2338	199.8260	324.5419	6	29	100.0000	0.7350	0.0960	0.0120
Cd1a	Cd1a-l1	l	supported	18.5470	3.6791	173.8703	6	22	75.8621	0.4360	0.3874	0.5463
Cd209a	Cd209a-l1	l	parent correlated	58.6023	18.5251	375.7073	6	26	89.6552	0.9564	0.0028	0.4799
Cd300ld	Cd300ld-l1	l	supported	11.8153	1.4489	76.0233	6	22	75.8621	-0.2111	0.6880	0.7003
Cd33	Cd33-l1	l	supported	23.0073	0.8912	153.1634	6	24	82.7586	0.7663	0.0755	0.6664
Cd5l	Cd5l-dl1	dl	low expression	0.4070	0.0000	2.6647	6	13	44.8276	0.9259	0.0080	0.4025
Cd70	Cd70-l1	l	supported	2.1642	0.6151	14.5374	5	19	65.5172	0.6252	0.1844	0.4339
Cdc26	Cdc26-dl1	dl	supported	242.4412	234.7712	453.0490	6	29	100.0000	0.7873	0.0630	0.0179
Cdhr3	Cdhr3-l1	l	low expression	0.7065	0.0349	3.8618	5	16	55.1724	0.7591	0.0801	0.3812
Cdk1	Cdk1-dl1	dl	parent correlated	16.3277	2.5359	225.9670	6	20	68.9655	0.9514	0.0035	0.5956
Cdk1	Cdk1-dl2	dl	low expression	1.5223	0.0000	11.7520	6	11	37.9310	0.9011	0.0142	0.2431
Cdk2ap1	Cdk2ap1-dl1	dl	parent correlated	347.0151	315.8299	726.1489	6	29	100.0000	0.9776	0.0007	0.0441
Cdkn2aipnl	Cdkn2aipnl-dl1	dl	supported	12.1216	6.9686	109.8313	6	20	68.9655	0.4878	0.3263	0.1390
Cdkn2aipnl	Cdkn2aipnl-dl2	dl	supported	175.7224	174.7537	341.4396	6	29	100.0000	0.6154	0.1935	0.0060
Cdkn2aipnl	Cdkn2aipnl-l1	l	supported	338.5004	280.7084	770.4154	6	29	100.0000	0.7316	0.0984	0.0134
Cdkn2b	Cdkn2b-l1	l	supported	3.6670	1.4462	19.7497	6	25	86.2069	0.6764	0.1401	0.3358
Ceacam1	Ceacam1-l1	l	supported	11.9569	2.2946	99.0507	6	29	100.0000	0.2424	0.6435	0.6022
Cebpz	Cebpz-dl1	dl	parent correlated	46.0685	45.1573	99.7185	6	29	100.0000	0.9225	0.0088	0.0247
Cebpz	Cebpz-dl2	dl	parent correlated	87.4877	92.1727	129.2058	6	29	100.0000	0.8862	0.0187	0.0175
Cebpzos	Cebpzos-l1	l	supported	25.4787	20.5200	91.0207	6	24	82.7586	-0.6407	0.1705	0.1019
Cel	Cel-l1	l	low expression	1.5749	0.0000	11.6376	5	14	48.2759	0.0602	0.9098	0.2733
Celf3	Celf3-l1	l	low expression	107.6434	0.0000	665.1278	4	11	37.9310	0.7969	0.0577	0.9924
Cenpi	Cenpi-l1	l	supported	108.8196	114.7889	172.8679	6	29	100.0000	0.3219	0.5338	0.0240
Ces1	Ces1-l1	l	parent correlated	164.9743	14.0091	1134.1415	6	29	100.0000	0.9709	0.0013	0.5664
Ces1	Ces1-rl1	rl	parent correlated	47.4596	4.3215	254.1751	6	29	100.0000	0.8382	0.0372	0.5790
Ces1d	Ces1d-l1	l	supported	1212.6002	1.7154	13168.3821	6	29	100.0000	0.4081	0.4219	0.7877
Cfl1	Cfl1-dl1	dl	parent correlated	1013.8761	578.2925	2519.6080	6	29	100.0000	0.9976	0.0000	0.1233
Cfl1	Cfl1-dl2	dl	parent correlated	2009.5917	1285.9089	4966.0634	6	29	100.0000	0.9999	0.0000	0.1197
