family	gene_name	gene_id	gene_type	chrom	start	end	strand	length	paralog_type	copy_num
Fkbp3	Fkbp3-dl1	gene-Fkbp3-dl1	paralog_dl	chr13	36749300	36750247	-	948	dl	1.0
Fkbp3	Fkbp3-dl2	gene-Fkbp3-dl2	paralog_dl	chr19	35784383	35788537	-	4155	dl	2.0
Fkbp3	Fkbp3-dl3	gene-Fkbp3-dl3	paralog_dl	chr22	30662114	30663091	-	978	dl	3.0
Fkbp3	Fkbp3-dl4	gene-Fkbp3-dl4	paralog_dl	chr27	15861298	15862717	+	1420	dl	4.0
Fkbp4	Fkbp4	gene-Fkbp4	parent	chr9	82728005	82739961	+	11957		
Fkbp4	Fkbp4-dl1	gene-Fkbp4-dl1	paralog_dl	chrX	73712327	73713703	+	1377	dl	1.0
Fmo5	Fmo5	gene-Fmo5	parent	chr21	2032597	2056084	+	23488		
Fmo5	Fmo5-l1	gene-Fmo5-l1	paralog_l	chr2	59858879	59879549	-	20671	l	1.0
Fndc11	Fndc11	gene-Fndc11	parent	chr20	91298383	91300891	+	2509		
Fndc11	Fndc11-l1	gene-Fndc11-l1	paralog_l	chrX	141461130	141462186	-	1057	l	1.0
Fnta	Fnta	gene-Fnta	parent	chr1	92312905	92370108	+	57204		
Fnta	Fnta-dl1	gene-Fnta-dl1	paralog_dl	chr18	18783094	18784203	-	1110	dl	1.0
Fpr2	Fpr2	gene-Fpr2	parent	chr2	36501960	36510228	+	8269		
Fpr2	Fpr2-l1	gene-Fpr2-l1	paralog_l	chr2	36609939	36610997	-	1059	l	1.0
Fpr2	Fpr2-l2	gene-Fpr2-l2	paralog_l	chr2	36693093	36700703	-	7611	l	2.0
Fpr2	Fpr2-l3	gene-Fpr2-l3	paralog_l	chr2	36741586	36742872	-	1287	l	3.0
Fpr2	Fpr2-l4	gene-Fpr2-l4	paralog_l	chr2	36780876	36797534	+	16659	l	4.0
Fsbp	Fsbp	gene-Fsbp	parent	chr24	25208101	25209184	+	1084		
Fsbp	Fsbp-dl1	gene-Fsbp-dl1	paralog_dl	chr11	30948917	30955612	+	6696	dl	1.0
Fsip2	Fsip2	gene-Fsip2	parent	chr9	43373943	43448173	+	74231		
Fsip2	Fsip2-l1	gene-Fsip2-l1	paralog_l	chr26	53081893	53104227	-	22335	l	1.0
Fth1	Fth1	gene-Fth1	parent	chr4	48840672	48843259	-	2588		
Fth1	Fth1-dl6	gene-Fth1-dl6	paralog_dl	chrX	23387183	23387731	-	549	dl	6.0
Fth1	Fth1-dl7	gene-Fth1-dl7	paralog_dl	chrX	146724818	146725159	+	342	dl	7.0
Fth1	Fth1-dl8	gene-Fth1-dl8	paralog_dl	chrX	160444925	160445608	+	684	dl	8.0
Fth1	Fth1-dl4	gene-Fth1-dl4	paralog_dl	chr4	101308387	101308998	-	612	dl	4.0
Fth1	Fth1-dl5	gene-Fth1-dl5	paralog_dl	chr8	14652779	14653477	+	699	dl	5.0
Fth1	Fth1-dl1	gene-Fth1-dl1	paralog_dl	chr12	101582109	101582923	+	815	dl	1.0
Fth1	Fth1-dl2	gene-Fth1-dl2	paralog_dl	chr13	39513253	39514058	+	806	dl	2.0
Fth1	Fth1-dl3	gene-Fth1-dl3	paralog_dl	chr22	31743914	31744459	-	546	dl	3.0
Fundc2	Fundc2	gene-Fundc2	parent	chrX	941450	963886	-	22437		
Fundc2	Fundc2-dl1	gene-Fundc2-dl1	paralog_dl	chr24	42624686	42625141	-	456	dl	1.0
Fxyd5	Fxyd5	gene-Fxyd5	parent	chr2	17960327	17970481	-	10155		
Fxyd5	Fxyd5-l1	gene-Fxyd5-l1	paralog_l	chr1	140059189	140059901	+	713	l	1.0
Fzd10	Fzd10	gene-Fzd10	parent	chr4	64296943	64299587	+	2645		
Fzd10	Fzd10-l1	gene-Fzd10-l1	paralog_l	chr20	1721662	1723456	-	1795	l	1.0
Gabarap	Gabarap	gene-Gabarap	parent	chr7	38307142	38309385	-	2244		
Gabarap	Gabarap-dl1	gene-Gabarap-dl1	paralog_dl	chr10	23205298	23205651	-	354	dl	1.0
Gabarapl1	Gabarapl1	gene-Gabarapl1	parent	chr4	16054883	16062900	-	8018		
Gabarapl1	Gabarapl1-dl1	gene-Gabarapl1-dl1	paralog_dl	chr11	114885585	114887180	-	1596	dl	1.0
Gabarapl2	Gabarapl2	gene-Gabarapl2	parent	chr1	164467789	164483314	+	15526		
Gabarapl2	Gabarapl2-dl2	gene-Gabarapl2-dl2	paralog_dl	chr4	62911676	62912286	-	611	dl	2.0
Gabarapl2	Gabarapl2-dl1	gene-Gabarapl2-dl1	paralog_dl	chr18	68888947	68889300	+	354	dl	1.0
Gapdh	Gapdh	gene-Gapdh	parent	chr4	100488252	100492227	-	3976		
Gapdh	Gapdh-l1	gene-Gapdh-l1	paralog_l	chr11	116492656	116494426	-	1771	l	1.0
Gapdh	Gapdh-l2	gene-Gapdh-l2	paralog_l	chr20	14232565	14233809	+	1245	l	2.0
Gbp5	Gbp5	gene-Gbp5	parent	chr21	52022660	52037100	+	14441		
Gbp5	Gbp5-dl1	gene-Gbp5-dl1	paralog_dl	chr21	51760170	51769135	-	8966	dl	1.0
Gbp5	Gbp5-dl2	gene-Gbp5-dl2	paralog_dl	chr21	52458690	52463944	+	5255	dl	2.0
Gbp5	Gbp5-dl3	gene-Gbp5-dl3	paralog_dl	chr21	52463884	52468014	+	4131	dl	3.0
Gbp5	Gbp5-l1	gene-Gbp5-l1	paralog_l	chr21	52489084	52503958	+	14875	l	1.0
Gbp6	Gbp6	gene-Gbp6	parent	chr21	52260734	52287323	+	26590		
Gbp6	Gbp6-l1	gene-Gbp6-l1	paralog_l	chr21	51841750	51842883	-	1134	l	1.0
Gbp6	Gbp6-l2	gene-Gbp6-l2	paralog_l	chr21	51950529	51973764	-	23236	l	2.0
Gbp6	Gbp6-l3	gene-Gbp6-l3	paralog_l	chr21	52545438	52558767	+	13330	l	3.0
Gdi2	Gdi2	gene-Gdi2	parent	chr13	70653475	70691846	-	38372		
Gdi2	Gdi2-dl1	gene-Gdi2-dl1	paralog_dl	chr12	12319686	12321625	-	1940	dl	1.0
Gdi2	Gdi2-dl2	gene-Gdi2-dl2	paralog_dl	chr19	81613378	81616063	-	2686	dl	2.0
Gfm1	Gfm1	gene-Gfm1	parent	chr16	69969235	70021384	+	52150		
Gfm1	Gfm1-dl1	gene-Gfm1-dl1	paralog_dl	chr4	94105135	94107986	+	2852	dl	1.0
Ggta1	Ggta1	gene-Ggta1	parent	chr14	97408677	97426720	-	18044		
Ggta1	Ggta1-l1	gene-Ggta1-l1	paralog_l	chr14	97434560	97528618	-	94059	l	1.0
Gins3	Gins3	gene-Gins3	parent	chr1	146050212	146060322	+	10111		
Gins3	Gins3-dl1	gene-Gins3-dl1	paralog_dl	chr6	61899597	61900759	+	1163	dl	1.0
Gja1	Gja1	gene-Gja1	parent	chr18	78522375	78530364	-	7990		
Gja1	Gja1-l1	gene-Gja1-l1	paralog_l	chrX	45364153	45366754	+	2602	l	1.0
Glrx3	Glrx3	gene-Glrx3	parent	chr28	12691582	12726981	-	35400		
Glrx3	Glrx3-dl1	gene-Glrx3-dl1	paralog_dl	chr19	48384588	48385592	+	1005	dl	1.0
Gltp	Gltp	gene-Gltp	parent	chr20	20477431	20498762	-	21332		
Gltp	Gltp-dl1	gene-Gltp-dl1	paralog_dl	chr23	63740642	63742592	+	1951	dl	1.0
Glud1	Glud1	gene-Glud1	parent	chr6	4498204	4540767	+	42564		
Glud1	Glud1-dl1	gene-Glud1-dl1	paralog_dl	chr28	3209310	3210368	-	1059	dl	1.0
Glul	Glul	gene-Glul	parent	chr8	96820887	96827680	+	6794		
Glul	Glul-dl2	gene-Glul-dl2	paralog_dl	chr5	91490422	91492733	+	2312	dl	2.0
Glul	Glul-dl1	gene-Glul-dl1	paralog_dl	chr25	23766116	23768506	+	2391	dl	1.0
Glyatl3	Glyatl3	gene-Glyatl3	parent	chr11	51784196	51785501	+	1306		
Glyatl3	Glyatl3-l1	gene-Glyatl3-l1	paralog_l	chr17	63603744	63616219	+	12476	l	1.0
Gnai2	Gnai2	gene-Gnai2	parent	chr6	62562584	62565143	-	2560		
Gnai2	Gnai2-l1	gene-Gnai2-l1	paralog_l	chr1	52018856	52020473	-	1618	l	1.0
Gnai2	Gnai2-l2	gene-Gnai2-l2	paralog_l	chr6	62565144	62566511	-	1368	l	2.0
Gnai3	Gnai3	gene-Gnai3	parent	chr21	14360477	14410247	-	49771		
Gnai3	Gnai3-dl2	gene-Gnai3-dl2	paralog_dl	chr2	65050434	65052565	+	2132	dl	2.0
Gnai3	Gnai3-dl1	gene-Gnai3-dl1	paralog_dl	chr18	67123509	67125782	+	2274	dl	1.0
Gnaq	Gnaq	gene-Gnaq	parent	chr9	95935556	96241971	+	306416		
Gnaq	Gnaq-dl1	gene-Gnaq-dl1	paralog_dl	chr4	60764433	60768170	+	3738	dl	1.0
Gnas	Gnas	gene-Gnas	parent	chr15	17668652	17685855	+	17204		
Gnas	Gnas-l1	gene-Gnas-l1	paralog_l	chr16	52490700	52491821	+	1122	l	1.0
Gnas	Gnas-l2	gene-Gnas-l2	paralog_l	chr16	52536056	52537195	-	1140	l	2.0
Gnas	Gnas-l3	gene-Gnas-l3	paralog_l	chr16	52695299	52696444	-	1146	l	3.0
Gnas	Gnas-l4	gene-Gnas-l4	paralog_l	chr16	52816005	52843906	-	27902	l	4.0
Gnas	Gnas-l5	gene-Gnas-l5	paralog_l	chr16	52961665	52963438	-	1774	l	5.0
Gnas	Gnas-l6	gene-Gnas-l6	paralog_l	chr20	86050819	86110800	+	59982	l	6.0
Gng10	Gng10	gene-Gng10	parent	chr14	86572630	86580134	+	7505		
Gng10	Gng10-dl1	gene-Gng10-dl1	paralog_dl	chr7	31136377	31137526	+	1150	dl	1.0
Gng5	Gng5	gene-Gng5	parent	chr21	46625653	46632792	-	7140		
Gng5	Gng5-dl1	gene-Gng5-dl1	paralog_dl	chr8	36156028	36156470	+	443	dl	1.0
Gng5	Gng5-dl2	gene-Gng5-dl2	paralog_dl	chr9	44697079	44697363	-	285	dl	2.0
Gng5	Gng5-dl3	gene-Gng5-dl3	paralog_dl	chr9	56927616	56928274	+	659	dl	3.0
Gnl3	Gnl3	gene-Gnl3	parent	chr19	88643633	88652633	-	9001		
Gnl3	Gnl3-dl1	gene-Gnl3-dl1	paralog_dl	chr1	116337858	116339045	-	1188	dl	1.0
Got1	Got1	gene-Got1	parent	chr28	6888061	6913334	-	25274		
Got1	Got1-dl1	gene-Got1-dl1	paralog_dl	chr10	69534009	69535994	+	1986	dl	1.0
Gpkow	Gpkow	gene-Gpkow	parent	chrX	133861062	133890393	+	29332		
Gpkow	Gpkow-l2	gene-Gpkow-l2	paralog_l	chr9	53789175	53792958	-	3784	l	2.0
Gpkow	Gpkow-l1	gene-Gpkow-l1	paralog_l	chr20	19174322	19177886	-	3565	l	1.0
Gpx7	Gpx7	gene-Gpx7	parent	chr19	55386964	55401449	+	14486		
Gpx7	Gpx7-l1	gene-Gpx7-l1	paralog_l	chr16	72116362	72119041	-	2680	l	1.0
Grb2	Grb2	gene-Grb2	parent	chr18	18677722	18763947	-	86226		
Grb2	Grb2-l1	gene-Grb2-l1	paralog_l	chr1	515031	515674	+	644	l	1.0
Gsdmc	Gsdmc	gene-Gsdmc	parent	chr26	10658955	10678053	+	19099		
Gsdmc	Gsdmc-l1	gene-Gsdmc-l1	paralog_l	chr26	10718493	10741950	-	23458	l	1.0
Gsta4	Gsta4	gene-Gsta4	parent	chr15	3333919	3351060	+	17142		
Gsta4	Gsta4-l1	gene-Gsta4-l1	paralog_l	chr15	3367042	3401396	+	34355	l	1.0
Gsto1	Gsto1	gene-Gsto1	parent	chr28	40729563	40740477	-	10915		
Gsto1	Gsto1-dl1	gene-Gsto1-dl1	paralog_dl	chr10	12684315	12685502	-	1188	dl	1.0
Gstp1	Gstp1	gene-Gstp1	parent	chr4	80794886	80797641	-	2756		
Gstp1	Gstp1-l1	gene-Gstp1-l1	paralog_l	chr3	124855694	124856519	+	826	l	1.0
Gtf3c3	Gtf3c3	gene-Gtf3c3	parent	chr9	53743591	53772381	-	28791		
Gtf3c3	Gtf3c3-l1	gene-Gtf3c3-l1	paralog_l	chr9	53779377	53784557	-	5181	l	1.0
Gvinp1	Gvinp1	gene-Gvinp1	parent	chr24	28593397	28734513	+	141117		
Gvinp1	Gvinp1-l1	gene-Gvinp1-l1	paralog_l	chr24	28130154	28137440	-	7287	l	1.0
Gvinp1	Gvinp1-l2	gene-Gvinp1-l2	paralog_l	chr24	28303419	28308533	-	5115	l	2.0
Gvinp1	Gvinp1-l3	gene-Gvinp1-l3	paralog_l	chr24	28949662	28994598	+	44937	l	3.0
Gzmb	Gzmb	gene-Gzmb	parent	chr8	42142883	42176412	+	33530		
Gzmb	Gzmb-l1	gene-Gzmb-l1	paralog_l	chr8	42227191	42230346	+	3156	l	1.0
Gzmb	Gzmb-l2	gene-Gzmb-l2	paralog_l	chr8	42302075	42305196	+	3122	l	2.0
Gzmb	Gzmb-l3	gene-Gzmb-l3	paralog_l	chr8	42367496	42371251	+	3756	l	3.0
Gzmb	Gzmb-l4	gene-Gzmb-l4	paralog_l	chr8	42452888	42455911	+	3024	l	4.0
Gzmb	Gzmb-l5	gene-Gzmb-l5	paralog_l	chr8	42672682	42675978	+	3297	l	5.0
Gzmb	Gzmb-l6	gene-Gzmb-l6	paralog_l	chr8	42754238	42757375	+	3138	l	6.0
Gzmb	Gzmb-l7	gene-Gzmb-l7	paralog_l	chr8	42894976	42899478	+	4503	l	7.0
Gzmb	Gzmb-l8	gene-Gzmb-l8	paralog_l	chr8	43031018	43034235	+	3218	l	8.0
Gzmb	Gzmb-l9	gene-Gzmb-l9	paralog_l	chr8	43110653	43114261	+	3609	l	9.0
Gzmb	Gzmb-l10	gene-Gzmb-l10	paralog_l	chr8	43230910	43234277	+	3368	l	10.0
Gzmb	Gzmb-l11	gene-Gzmb-l11	paralog_l	chr8	43328542	43331922	+	3381	l	11.0
Gzmb	Gzmb-l12	gene-Gzmb-l12	paralog_l	chr8	43432896	43486877	+	53982	l	12.0
Gzmb	Gzmb-l13	gene-Gzmb-l13	paralog_l	chr8	43519831	43522882	+	3052	l	13.0
Gzmb	Gzmb-l14	gene-Gzmb-l14	paralog_l	chr8	43559651	43562906	+	3256	l	14.0
Gzmb	Gzmb-l15	gene-Gzmb-l15	paralog_l	chr8	43715863	43719495	+	3633	l	15.0
Gzmh	Gzmh	gene-Gzmh	parent	chr8	42240526	42243799	+	3274		
Gzmh	Gzmh-l1	gene-Gzmh-l1	paralog_l	chr8	42524792	42528974	+	4183	l	1.0
H1-0	H1-0	gene-H1-0	parent	chr15	11121437	11122021	+	585		
H1-0	H1-0-l2	gene-H1-0-l2	paralog_l	chr4	36157889	36159979	+	2091	l	2.0
H1-0	H1-0-l1	gene-H1-0-l1	paralog_l	chr23	41284897	41285418	-	522	l	1.0
H1-3	H1-3	gene-H1-3	parent	chr13	91395119	91396677	+	1559		
H1-3	H1-3-l1	gene-H1-3-l1	paralog_l	chr13	91428699	91452677	+	23979	l	1.0
H2ab1	H2ab1	gene-H2ab1	parent	chrX	151475806	151476159	+	354		
H2ab1	H2ab1-l1	gene-H2ab1-l1	paralog_l	chrX	54561259	54561612	-	354	l	1.0
H2ab1	H2ab1-l2	gene-H2ab1-l2	paralog_l	chrX	93303336	93303779	-	444	l	2.0
H2ab1	H2ab1-l3	gene-H2ab1-l3	paralog_l	chrX	149683102	149683455	-	354	l	3.0
H2ab1	H2ab1-l4	gene-H2ab1-l4	paralog_l	chrX	153404265	153404618	-	354	l	4.0
H2ab1	H2ab1-l5	gene-H2ab1-l5	paralog_l	chrX	156947687	156948040	-	354	l	5.0
H2ab1	H2ab1-l6	gene-H2ab1-l6	paralog_l	chrX	174699178	174699554	-	377	l	6.0
H2ac18	H2ac18	gene-H2ac18	parent	chr22	50719463	50720091	+	629		
H2ac18	H2ac18-l1	gene-H2ac18-l1	paralog_l	chr22	50709726	50710346	-	621	l	1.0
H2az1	H2az1	gene-H2az1	parent	chr1	105806721	105808244	+	1524		
H2az1	H2az1-l1	gene-H2az1-l1	paralog_l	chr16	53181481	53182776	+	1296	l	1.0
H2az2	H2az2	gene-H2az2	parent	chr6	42858685	42874823	-	16139		
H2az2	H2az2-l1	gene-H2az2-l1	paralog_l	chr8	10546416	10547138	+	723	l	1.0
H2az2	H2az2-l2	gene-H2az2-l2	paralog_l	chr9	123288122	123308932	+	20811	l	2.0
H2b-i	H2b-i	gene-H2b-i	parent	chr22	50710577	50711115	+	539		
H2b-i	H2b-i-l1	gene-H2b-i-l1	paralog_l	chr22	50717773	50719276	-	1504	l	1.0
H2bc12	H2bc12	gene-H2bc12	parent	chr13	118553494	118556998	-	3505		
H2bc12	H2bc12-l1	gene-H2bc12-l1	paralog_l	chr13	118570398	118570853	-	456	l	1.0
H2bc15	H2bc15	gene-H2bc15	parent	chr13	91264991	91265430	+	440		
H2bc15	H2bc15-l1	gene-H2bc15-l1	paralog_l	chr13	91202351	91203017	-	667	l	1.0
H2bc15	H2bc15-l2	gene-H2bc15-l2	paralog_l	chr13	91271858	91272742	-	885	l	2.0
H2bc15	H2bc15-l3	gene-H2bc15-l3	paralog_l	chr13	91279666	91280668	-	1003	l	3.0
H2bc15	H2bc15-l4	gene-H2bc15-l4	paralog_l	chr13	91343062	91353240	+	10179	l	4.0
H2bc15	H2bc15-dl1	gene-H2bc15-dl1	paralog_dl	chr13	118824175	118824555	-	381	dl	1.0
H2bc15	H2bc15-l5	gene-H2bc15-l5	paralog_l	chr13	118831303	118831735	+	433	l	5.0
H2bc15	H2bc15-dl2	gene-H2bc15-dl2	paralog_dl	chr13	118850527	118850907	+	381	dl	2.0
H2bc15	H2bc15-l6	gene-H2bc15-l6	paralog_l	chr13	118891523	118892884	+	1362	l	6.0
H3c15	H3c15	gene-H3c15	parent	chr13	91418186	91418646	+	461		
H3c15	H3c15-dl1	gene-H3c15-dl1	paralog_dl	chr13	91230029	91230439	+	411	dl	1.0
H3c15	H3c15-l1	gene-H3c15-l1	paralog_l	chr13	91262143	91263401	-	1259	l	1.0
H3c15	H3c15-dl2	gene-H3c15-dl2	paralog_dl	chr13	91405419	91405901	-	483	dl	2.0
H3c15	H3c15-l2	gene-H3c15-l2	paralog_l	chr13	118826491	118827056	+	566	l	2.0
H3c15	H3c15-l3	gene-H3c15-l3	paralog_l	chr13	118887840	118889410	-	1571	l	3.0
H3c15	H3c15-l4	gene-H3c15-l4	paralog_l	chr22	50682444	50683549	-	1106	l	4.0
H3c15	H3c15-dl3	gene-H3c15-dl3	paralog_dl	chr22	50708458	50708868	-	411	dl	3.0
Hacd3	Hacd3	gene-Hacd3	parent	chr17	9566370	9602678	+	36309		
Hacd3	Hacd3-dl1	gene-Hacd3-dl1	paralog_dl	chr15	100654326	100655759	-	1434	dl	1.0
Hat1	Hat1	gene-Hat1	parent	chr9	29372533	29436279	+	63747		
Hat1	Hat1-l1	gene-Hat1-l1	paralog_l	chrX	106853160	106854713	-	1554	l	1.0
Haus4	Haus4	gene-Haus4	parent	chr8	45614432	45619788	+	5357		
Haus4	Haus4-l1	gene-Haus4-l1	paralog_l	chr1	81630	83014	-	1385	l	1.0
Hdac1	Hdac1	gene-Hdac1	parent	chr19	24013631	24058378	+	44748		
Hdac1	Hdac1-dl1	gene-Hdac1-dl1	paralog_dl	chr1	89048367	89050346	+	1980	dl	1.0
Hdac1	Hdac1-dl2	gene-Hdac1-dl2	paralog_dl	chr1	97792942	97794390	+	1449	dl	2.0
Hdac1	Hdac1-l1	gene-Hdac1-l1	paralog_l	chr1	159254917	159256407	-	1491	l	1.0
Hdac1	Hdac1-dl7	gene-Hdac1-dl7	paralog_dl	chr5	79071269	79072138	+	870	dl	7.0
Hdac1	Hdac1-dl8	gene-Hdac1-dl8	paralog_dl	chr8	14104904	14106352	-	1449	dl	8.0
Hdac1	Hdac1-dl3	gene-Hdac1-dl3	paralog_dl	chr10	37486150	37488121	+	1972	dl	3.0
Hdac1	Hdac1-dl4	gene-Hdac1-dl4	paralog_dl	chr13	21450061	21453669	-	3609	dl	4.0
Hdac1	Hdac1-dl5	gene-Hdac1-dl5	paralog_dl	chr20	59991695	59993143	+	1449	dl	5.0
Hdac1	Hdac1-dl6	gene-Hdac1-dl6	paralog_dl	chr24	26089295	26091281	+	1987	dl	6.0
Herc5	Herc5	gene-Herc5	parent	chr1	110794958	110847357	+	52400		
Herc5	Herc5-l1	gene-Herc5-l1	paralog_l	chr1	110662661	110730712	+	68052	l	1.0
Hesx1	Hesx1	gene-Hesx1	parent	chr19	83909465	83911070	+	1606		
Hesx1	Hesx1-l1	gene-Hesx1-l1	paralog_l	chr24	40300468	40301558	+	1091	l	1.0
Hint1	Hint1	gene-Hint1	parent	chr11	116451908	116454168	+	2261		
Hint1	Hint1-dl1	gene-Hint1-dl1	paralog_dl	chr3	3117985	3118542	-	558	dl	1.0
Hint1	Hint1-l1	gene-Hint1-l1	paralog_l	chr15	36592799	36593336	+	538	l	1.0
Hipk2	Hipk2	gene-Hipk2	parent	chr22	65280677	65492008	-	211332		
Hipk2	Hipk2-l1	gene-Hipk2-l1	paralog_l	chr24	17507951	17512923	+	4973	l	1.0
Hla-dpb1	Hla-dpb1	gene-Hla-dpb1	parent	chr1	3309758	3317912	+	8155		
Hla-dpb1	Hla-dpb1-l1	gene-Hla-dpb1-l1	paralog_l	chr1	3389913	3401439	+	11527	l	1.0
Hmgb1	Hmgb1	gene-Hmgb1	parent	chr5	125084661	125086685	-	2025		
Hmgb1	Hmgb1-dl1	gene-Hmgb1-dl1	paralog_dl	chrX	142874758	142875405	-	648	dl	1.0
Hmgb3	Hmgb3	gene-Hmgb3	parent	chrX	4678543	4733854	-	55312		
Hmgb3	Hmgb3-l1	gene-Hmgb3-l1	paralog_l	chr20	61547094	61548526	+	1433	l	1.0
Hmgn2	Hmgn2	gene-Hmgn2	parent	chr13	89864457	89864790	+	334		
Hmgn2	Hmgn2-dl1	gene-Hmgn2-dl1	paralog_dl	chr1	103192662	103194217	-	1556	dl	1.0
Hmgn2	Hmgn2-dl9	gene-Hmgn2-dl9	paralog_dl	chr3	30341188	30343279	+	2092	dl	9.0
Hmgn2	Hmgn2-dl10	gene-Hmgn2-dl10	paralog_dl	chr5	124870007	124870279	+	273	dl	10.0
Hmgn2	Hmgn2-dl2	gene-Hmgn2-dl2	paralog_dl	chr10	113872642	113872932	+	291	dl	2.0
Hmgn2	Hmgn2-dl3	gene-Hmgn2-dl3	paralog_dl	chr15	26842728	26846881	-	4154	dl	3.0
Hmgn2	Hmgn2-dl4	gene-Hmgn2-dl4	paralog_dl	chr19	27203511	27203783	+	273	dl	4.0
Hmgn2	Hmgn2-dl5	gene-Hmgn2-dl5	paralog_dl	chr19	48430498	48430758	+	261	dl	5.0
Hmgn2	Hmgn2-dl6	gene-Hmgn2-dl6	paralog_dl	chr20	58140820	58141092	+	273	dl	6.0
Hmgn2	Hmgn2-dl7	gene-Hmgn2-dl7	paralog_dl	chr23	6834934	6835206	+	273	dl	7.0
Hmgn2	Hmgn2-dl8	gene-Hmgn2-dl8	paralog_dl	chr24	8111623	8111895	-	273	dl	8.0
Hmox1	Hmox1	gene-Hmox1	parent	chr2	157013325	157015990	+	2666		
Hmox1	Hmox1-dl1	gene-Hmox1-dl1	paralog_dl	chr1	28048613	28049866	+	1254	dl	1.0
Hnrnpdl	Hnrnpdl	gene-Hnrnpdl	parent	chr1	135075837	135080975	-	5139		
Hnrnpdl	Hnrnpdl-l1	gene-Hnrnpdl-l1	paralog_l	chrX	85631284	85632273	-	990	l	1.0
Hnrnpf	Hnrnpf	gene-Hnrnpf	parent	chr6	133665910	133680960	-	15051		
Hnrnpf	Hnrnpf-l1	gene-Hnrnpf-l1	paralog_l	chr9	68597547	68598987	+	1441	l	1.0
Hnrnph1	Hnrnph1	gene-Hnrnph1	parent	chr11	118128606	118137277	-	8672		
Hnrnph1	Hnrnph1-l1	gene-Hnrnph1-l1	paralog_l	chr11	10306623	10308772	+	2150	l	1.0
Hnrnpl	Hnrnpl	gene-Hnrnpl	parent	chr2	22199776	22212536	-	12761		
Hnrnpl	Hnrnpl-l1	gene-Hnrnpl-l1	paralog_l	chr1	76907238	76908189	+	952	l	1.0
Hprt1	Hprt1	gene-Hprt1	parent	chrX	30594081	30643656	-	49576		
Hprt1	Hprt1-dl5	gene-Hprt1-dl5	paralog_dl	chrX	59387108	59388403	-	1296	dl	5.0
Hprt1	Hprt1-dl2	gene-Hprt1-dl2	paralog_dl	chr2	148644793	148647265	-	2473	dl	2.0
Hprt1	Hprt1-dl1	gene-Hprt1-dl1	paralog_dl	chr14	43737974	43739111	+	1138	dl	1.0
Hprt1	Hprt1-dl3	gene-Hprt1-dl3	paralog_dl	chr20	58072370	58074453	+	2084	dl	3.0
Hprt1	Hprt1-dl4	gene-Hprt1-dl4	paralog_dl	chr24	12660094	12662056	+	1963	dl	4.0
Hsbp1	Hsbp1	gene-Hsbp1	parent	chr1	172619024	172623506	+	4483		
Hsbp1	Hsbp1-l1	gene-Hsbp1-l1	paralog_l	chr19	41667487	41669303	+	1817	l	1.0
Hsd17b10	Hsd17b10	gene-Hsd17b10	parent	chrX	129183924	129186764	+	2841		
Hsd17b10	Hsd17b10-dl1	gene-Hsd17b10-dl1	paralog_dl	chr16	4627502	4628046	-	545	dl	1.0
Hsd17b6	Hsd17b6	gene-Hsd17b6	parent	chr16	41753417	41775527	-	22111		
Hsd17b6	Hsd17b6-l1	gene-Hsd17b6-l1	paralog_l	chr16	41932410	41942505	-	10096	l	1.0
Hsp90aa1	Hsp90aa1	gene-Hsp90aa1	parent	chr27	50858386	50900540	-	42155		
Hsp90aa1	Hsp90aa1-dl1	gene-Hsp90aa1-dl1	paralog_dl	chr24	1990131	1991866	+	1736	dl	1.0
Hsp90ab1	Hsp90ab1	gene-Hsp90ab1	parent	chr1	12297069	12302591	+	5523		
Hsp90ab1	Hsp90ab1-dl1	gene-Hsp90ab1-dl1	paralog_dl	chr19	45165050	45167485	+	2436	dl	1.0
Hspe1	Hspe1	gene-Hspe1	parent	chr28	12676048	12676616	+	569		
Hspe1	Hspe1-dl6	gene-Hspe1-dl6	paralog_dl	chr2	18464772	18465213	-	442	dl	6.0
Hspe1	Hspe1-dl7	gene-Hspe1-dl7	paralog_dl	chr3	121798077	121798385	+	309	dl	7.0
Hspe1	Hspe1-dl8	gene-Hspe1-dl8	paralog_dl	chr7	52546572	52546880	-	309	dl	8.0
Hspe1	Hspe1-dl1	gene-Hspe1-dl1	paralog_dl	chr11	76797968	76798498	-	531	dl	1.0
Hspe1	Hspe1-dl2	gene-Hspe1-dl2	paralog_dl	chr15	90675052	90675829	-	778	dl	2.0
Hspe1	Hspe1-dl3	gene-Hspe1-dl3	paralog_dl	chr18	27361644	27361946	+	303	dl	3.0
Hspe1	Hspe1-dl4	gene-Hspe1-dl4	paralog_dl	chr18	33807726	33808249	+	524	dl	4.0
Hspe1	Hspe1-dl5	gene-Hspe1-dl5	paralog_dl	chr19	29497663	29498084	+	422	dl	5.0
Hypk	Hypk	gene-Hypk	parent	chr15	87904908	87906813	-	1906		
Hypk	Hypk-dl1	gene-Hypk-dl1	paralog_dl	chr19	30278644	30278943	+	300	dl	1.0
Id4	Id4	gene-Id4	parent	chr13	98358193	98361379	-	3187		
Id4	Id4-l1	gene-Id4-l1	paralog_l	chr16	42178041	42178502	+	462	l	1.0
Idh3a	Idh3a	gene-Idh3a	parent	chr17	19634290	19652636	-	18347		
Idh3a	Idh3a-dl1	gene-Idh3a-dl1	paralog_dl	chr20	46630206	46631920	-	1715	dl	1.0
