	Chromosome	Start	End	Length	gene_count	repeat_count	unknown_repeat_count	LINE_repeat_count	LTR_repeat_count	SINE_repeat_count	DNA_transposon_repeat_count	Cumulative_Length	Cumulative_Length_Pct
20609	chr4	93946828	94146836	200008	1	410	145	87	29	112	3	336337210	64.38718605420408
23334	chr7	15573891	15773033	199142	3	1175	252	98	352	345	0	336536352	64.42530908259337
2574	chr10	117474717	117672431	197714	0	344	154	59	32	76	4	336734066	64.46315873979759
15458	chr23	15027936	15225158	197222	2	686	184	107	107	221	2	336931288	64.50091421029097
20590	chr4	91921716	92118938	197222	1	330	114	72	32	88	3	337128510	64.53866968078435
20707	chr4	103976770	104173762	196992	1	245	89	56	31	47	0	337325502	64.57638112090478
8756	chr17	25836968	26033377	196409	1	332	103	55	11	104	1	337521911	64.61398095360163
28822	chrY	62870387	63065344	194957	0	276	117	27	30	28	0	337716868	64.65130282063967
2603	chr10	119201251	119395440	194189	0	371	169	55	42	73	2	337911057	64.68847766451937
2688	chr10	123852791	124045593	192802	0	353	155	49	39	88	3	338103859	64.72538698610654
2239	chr10	86086693	86277651	190958	0	290	118	49	35	56	4	338294817	64.76194329896451
19506	chr3	125681461	125869928	188467	0	164	0	0	0	0	0	338483284	64.79802274373982
12654	chr2	157303703	157491361	187658	0	537	224	54	85	137	1	338670942	64.8339473164642
328	chr1	36727855	36915498	187643	3	507	169	75	89	114	5	338858585	64.86986901764253
9312	chr18	310913	498497	187584	0	493	140	82	70	167	5	339046169	64.90577942407299
14448	chr21	86183190	86370339	187149	0	426	117	83	70	115	5	339233318	64.94160655566768
28667	chrX	189752333	189938803	186470	1	430	120	96	51	131	3	339419788	64.97730370194397
11334	chr2	2330515	2516246	185731	0	485	233	61	44	112	1	339605519	65.0128593767176
10215	chr18	96290500	96475973	185473	0	481	142	79	66	163	5	339790992	65.04836566089898
10184	chr18	94471665	94656380	184715	0	638	133	95	86	240	6	339975707	65.08372683628603
14462	chr21	88882912	89067119	184207	0	415	116	86	59	115	5	340159914	65.11899076197979
10168	chr18	92461056	92645181	184125	0	486	145	82	63	165	5	340344039	65.15423898988841
11937	chr2	42997824	43181721	183897	2	350	101	86	63	75	0	340527936	65.1894435702969
1126	chr1	122956782	123140358	183576	2	483	128	97	58	126	3	340711512	65.22458669961966
14440	chr21	84953185	85136495	183310	0	420	113	86	70	115	5	340894822	65.25967890685894
14225	chr21	52839863	53022783	182920	2	312	69	82	31	75	0	341077742	65.29469645390058
14424	chr21	78644225	78826723	182498	0	399	105	81	62	113	5	341260240	65.3296332147797
28663	chrX	189229235	189411570	182335	1	423	124	86	59	111	5	341442575	65.36453877152495
12334	chr2	76842799	77024489	181690	3	547	239	62	64	131	2	341624265	65.39932085178954
28936	chrY	77068259	77249756	181497	0	339	75	78	98	56	0	341805762	65.43406598482814
23390	chr7	20415672	20596868	181196	7	359	104	70	43	93	7	341986958	65.46875349550909
27469	chrX	75578997	75759763	180766	1	382	98	136	36	72	2	342167724	65.50335868853627
27845	chrX	107203369	107383858	180489	0	422	131	78	48	104	16	342348213	65.53791085367952
18912	chr3	77823724	78004003	180279	2	404	115	101	48	94	5	342528492	65.5724228171779
14421	chr21	78284868	78464722	179854	0	398	86	74	46	146	6	342708346	65.60685342020452
20581	chr4	91431997	91611621	179624	1	498	169	98	49	134	3	342887970	65.6412399928582
14407	chr21	75912947	76092526	179579	0	406	122	64	58	128	3	343067549	65.67561795087369
27816	chrX	105841560	106020368	178808	0	2543	846	221	518	953	0	343246357	65.70984831142161
17126	chr26	19381973	19558982	177009	0	527	151	104	86	121	5	343423366	65.7437342778785
28837	chrY	65212344	65387890	175546	0	380	130	42	35	108	4	343598912	65.77734017287618
17147	chr26	30047879	30222088	174209	0	388	140	61	35	81	6	343773121	65.81069011740155
16697	chr25	16609110	16781728	172618	0	494	86	80	155	123	0	343945739	65.84373548660797
17140	chr26	27036339	27208817	172478	0	578	138	84	85	162	13	344118217	65.87675405471781
6892	chr15	53016969	53189284	172315	1	400	101	102	56	112	0	344290532	65.90974141869377
7407	chr15	105570517	105742472	171955	0	523	139	95	95	155	0	344462487	65.94265986556425
14392	chr21	75078641	75249937	171296	0	400	116	76	67	105	5	344633783	65.97545215584441
15347	chr22	81275544	81446267	170723	0	486	86	81	163	109	0	344804506	66.00813475306502
6822	chr15	45663766	45834147	170381	0	510	143	93	91	143	0	344974887	66.04075187903541
1038	chr1	111963931	112133345	169414	1	412	123	91	49	105	2	345144301	66.07318388600302
27995	chrX	125720660	125889992	169332	0	194	97	12	29	22	0	345313633	66.1056001951855
28877	chrY	70156681	70325437	168756	0	311	93	62	36	80	2	345482389	66.1379062369992
20074	chr4	47306031	47474184	168153	2	526	98	79	133	150	0	345650542	66.17009684266121
24653	chr8	37397363	37563489	166126	0	410	121	79	74	82	0	345816668	66.20189940673208
9532	chr18	22885695	23051293	165598	0	399	119	70	42	148	2	345982266	66.23360089238156
20253	chr4	59887767	60052250	164483	4	305	114	77	38	56	3	346146749	66.26508892644047
14575	chr22	12947226	13111345	164119	3	350	101	65	49	71	0	346310868	66.29650727764826
16297	chr24	29148716	29312834	164118	3	317	88	89	28	83	0	346474986	66.32792543741964
17189	chr26	35749998	35913246	163248	3	362	138	74	37	85	1	346638234	66.35917704751945
3655	chr12	15170606	15333674	163068	0	330	108	93	29	67	3	346801302	66.39039419906652
17144	chr26	29544979	29706792	161813	0	380	137	61	29	92	5	346963115	66.42137109792641
9524	chr18	22530806	22691868	161062	0	425	126	73	60	128	6	347124177	66.45220422804681
10123	chr18	88895638	89056636	160998	0	441	118	73	67	142	6	347285175	66.48302510623735
10245	chr18	97966122	98126637	160515	0	419	114	76	63	128	6	347445690	66.5137535206447
19339	chr3	113439573	113599982	160409	3	380	101	90	51	107	0	347606099	66.5444616427932
9539	chr18	23242960	23403092	160132	0	440	117	71	69	141	6	347766231	66.57511673705777
9681	chr18	37085767	37245572	159805	0	408	117	70	63	120	6	347926036	66.60570923161819
9666	chr18	36390069	36549755	159686	0	427	122	69	65	130	6	348085722	66.63627894524652
9741	chr18	41909203	42068745	159542	0	427	128	69	61	133	6	348245264	66.66682109203266
28666	chrX	189592818	189752295	159477	2	366	90	74	54	115	0	348404741	66.69735079545252
28664	chrX	189424619	189583896	159277	0	316	85	64	52	86	0	348564018	66.72784221159156
10199	chr18	95601535	95760496	158961	0	394	119	67	44	144	2	348722979	66.75827313382692
13990	chr21	23752827	23910937	158110	0	507	98	87	130	143	0	348881089	66.78854114368235
13352	chr20	57614855	57772087	157232	3	216	65	45	53	34	1	349038321	66.81864107237497
11596	chr2	25479614	25636595	156981	1	172	40	51	17	31	1	349195302	66.84869295053015
14387	chr21	74508344	74664611	156267	0	322	81	75	24	113	11	349351569	66.8786081430928
10130	chr18	89249362	89405435	156073	0	389	119	69	43	137	2	349507642	66.90848619699304
17137	chr26	26358821	26514852	156031	0	510	122	83	68	147	13	349663673	66.93835621056432
6842	chr15	47200059	47355963	155904	0	488	135	100	79	137	0	349819577	66.96820191171227
11908	chr2	41820224	41975530	155306	1	186	30	42	52	47	0	349974883	66.99793313389056
9674	chr18	36745007	36900080	155073	0	397	121	64	43	149	2	350129956	67.02761975138667
10236	chr18	97619318	97774324	155006	0	390	114	66	40	149	2	350284962	67.05729354264372
14366	chr21	70074139	70227979	153840	5	338	80	62	48	118	10	350438802	67.08674411905356
24686	chr8	42887416	43040908	153492	3	286	76	82	50	57	1	350592294	67.11612807559477
28929	chrY	76043669	76196655	152986	0	302	73	71	78	46	0	350745280	67.1454151653155
2679	chr10	123401943	123554763	152820	0	298	120	42	35	77	3	350898100	67.17467047659315
19345	chr3	113938472	114090955	152483	3	366	102	89	44	96	0	351050583	67.20386127380259
28945	chrY	83274921	83427324	152403	0	226	101	26	17	17	0	351202986	67.23303675609972
24687	chr8	43085903	43238009	152106	2	254	78	79	32	50	0	351355092	67.26215538178482
19315	chr3	112416342	112567391	151049	0	346	66	78	47	116	0	351506141	67.29107165919076
6819	chr15	45474654	45625592	150938	0	472	132	95	80	132	0	351657079	67.31996668715585
11987	chr2	45383451	45534388	150937	1	212	59	78	26	38	0	351808016	67.34886152368453
13709	chr20	87267754	87418600	150846	3	398	96	60	60	126	0	351958862	67.37773893950045
6770	chr15	43023881	43174559	150678	0	489	130	102	85	125	0	352109540	67.40658419400046
19321	chr3	112743303	112893536	150233	1	324	60	69	55	112	4	352259773	67.43534425930065
28937	chrY	77254567	77404189	149622	0	228	51	54	63	33	0	352409395	67.46398735695792
28928	chrY	75871947	76020904	148957	0	238	38	77	59	35	0	352558352	67.49250314940643
12324	chr2	76177870	76326397	148527	0	366	102	100	26	98	0	352706879	67.52093662420118
9318	chr18	858927	1006780	147853	0	326	76	73	39	111	1	352854732	67.54924107085955
26724	chrX	7690352	7837758	147406	2	340	101	84	41	97	0	353002138	67.5774599454453
25926	chr9	54504661	54651812	147151	3	446	116	68	57	162	4	353149289	67.60563000374799
3967	chr12	61362732	61509392	146660	1	587	114	74	143	136	0	353295949	67.63370606677624
10057	chr18	82992324	83138807	146483	0	247	181	2	5	21	0	353442432	67.66174824556097
11625	chr2	27017494	27163886	146392	5	534	143	86	88	168	0	353588824	67.68977300363294
10795	chr19	41708267	41854629	146362	1	484	100	55	96	101	0	353735186	67.71779201861277
2612	chr10	119659917	119805806	145889	0	273	91	45	35	74	1	353881075	67.74572048417345
672	chr1	76047801	76193628	145827	0	502	91	32	130	76	0	354026902	67.77363708067708
1367	chr1	155382046	155527579	145533	6	278	82	53	33	70	3	354172435	67.8014973948779
23782	chr7	54034933	54180055	145122	13	585	137	73	56	245	2	354317557	67.82927902871661
6812	chr15	44962035	45106900	144865	0	488	133	91	75	149	0	354462422	67.85701146339949
19361	chr3	114775825	114920605	144780	1	275	61	60	31	89	0	354607202	67.884727625988
26929	chrX	27945377	28089270	143893	0	269	64	43	38	101	0	354751095	67.91227398448606
18479	chr3	13820996	13964539	143543	0	255	80	36	39	61	0	354894638	67.93975334024267
24969	chr8	59474255	59616526	142271	1	479	102	68	96	159	0	355036909	67.96698918889325
7502	chr16	7344263	7486244	141981	1	488	92	69	139	132	0	355178890	67.99416952098665
4445	chr12	120598262	120739730	141468	1	252	57	81	22	67	0	355320358	68.02125164620472
0	chr1	11921	153124	141203	2	593	142	93	160	131	1	355461561	68.04828304077569
23747	chr7	50427154	50567527	140373	0	307	89	38	59	94	5	355601934	68.07515554313125
10832	chr19	44941802	45081536	139734	3	373	113	75	42	97	4	355741668	68.10190571762458
2647	chr10	121529312	121668651	139339	0	247	100	34	26	63	2	355881007	68.12858027473827
19283	chr3	111007930	111147242	139312	0	310	63	68	39	99	2	356020319	68.15524966306906
11326	chr2	1584398	1723684	139286	0	402	119	75	50	103	5	356159605	68.18191407405334
19298	chr3	112112836	112251941	139105	0	313	65	65	35	103	2	356298710	68.20854383504847
8428	chr16	107293333	107432349	139016	1	507	113	117	52	149	7	356437726	68.23515655820364
15497	chr23	19528117	19666967	138850	0	304	98	65	37	76	0	356576576	68.26173750291572
14374	chr21	71817751	71955890	138139	0	295	67	71	18	107	9	356714715	68.28818233634448
2630	chr10	120717628	120855281	137653	0	231	96	36	21	56	3	356852368	68.31453413168083
8847	chr17	38363442	38500858	137416	0	22	8	7	6	0	0	356989784	68.3408405565894
14433	chr21	83117690	83254481	136791	0	354	104	54	33	107	0	357126575	68.3670273337454
18656	chr3	40455210	40591911	136701	8	319	68	73	42	87	4	357263276	68.39319688162503
7361	chr15	103761175	103897871	136696	0	413	115	79	57	132	0	357399972	68.41936547232264
19261	chr3	110338544	110475044	136500	0	323	72	68	34	111	2	357536472	68.44549654148504
11851	chr2	39218479	39354694	136215	0	245	70	58	44	45	0	357672687	68.47157305127226
6831	chr15	46338306	46474372	136066	0	399	120	70	70	104	0	357808753	68.49762103703527
14992	chr22	52500966	52636545	135579	6	528	150	65	116	130	0	357944332	68.52357579326949
15109	chr22	59127587	59262942	135355	0	208	50	60	25	59	3	358079687	68.54948766774916
10228	chr18	97289254	97424561	135307	0	325	86	57	56	97	6	358214994	68.57539035328145
13265	chr20	50600536	50735825	135289	1	379	99	35	117	92	4	358350283	68.60128959295847
21852	chr6	510744	645611	134867	2	251	84	55	32	49	0	358485150	68.62710804647293
27665	chrX	97037277	97171415	134138	0	261	70	82	33	51	0	358619288	68.65278694284879
21961	chr6	12239727	12373863	134136	0	297	111	56	31	63	6	358753424	68.67846545635187
28609	chrX	183053752	183187812	134060	1	292	75	64	40	55	0	358887484	68.7041294206882
21850	chr6	350635	484094	133459	2	212	60	71	8	50	0	359020943	68.72967833174567
11460	chr2	18282554	18415027	132473	1	435	108	77	99	107	4	359153416	68.7550384865087
1472	chr1	163997361	164128368	131007	4	348	92	68	66	90	0	359284423	68.78011799550325
27410	chrX	70891795	71022624	130829	2	162	46	31	10	42	3	359415252	68.80516342881789
19	chr1	1217660	1348385	130725	1	490	117	54	148	122	1	359545977	68.8301889527465
2657	chr10	121965417	122096046	130629	0	233	99	32	22	57	2	359676606	68.85519609878031
14378	chr21	72816345	72946567	130222	0	289	66	71	21	103	10	359806828	68.88012533019764
14382	chr21	73795462	73925074	129612	0	290	66	68	26	102	10	359936440	68.90493778540846
14385	chr21	74351469	74480937	129468	3	292	76	57	26	108	8	360065908	68.92972267377709
19343	chr3	113789105	113917087	127982	5	210	58	38	32	58	0	360193890	68.9542230876492
974	chr1	107828623	107956430	127807	0	314	64	16	77	106	0	360321697	68.97869000015059
13264	chr20	50471070	50598250	127180	0	358	89	40	121	82	3	360448877	69.00303688202658
28927	chrY	75706444	75833367	126923	0	226	35	69	64	36	0	360575800	69.02733456474672
995	chr1	108951353	109077900	126547	0	263	44	13	54	103	0	360702347	69.05156026737892
10122	chr18	88767326	88893515	126189	0	286	66	61	36	91	3	360828536	69.07571743577844
5733	chr14	44030260	44156393	126133	2	310	78	16	105	77	0	360954669	69.09986388373932
8738	chr17	25272024	25397889	125865	4	229	79	43	6	82	0	361080534	69.1239590267439
19288	chr3	111585190	111710521	125331	0	259	55	48	29	92	2	361205865	69.14795194270869
28892	chrY	71327225	71452519	125294	0	216	53	68	36	35	0	361331159	69.17193777552652
28790	chrY	24755395	24880652	125257	0	313	105	61	25	83	1	361456416	69.1959165251974
26923	chrX	27644600	27769812	125212	0	231	65	38	36	74	0	361581628	69.21988666023009
9328	chr18	1863433	1988506	125073	0	284	64	64	34	90	3	361706701	69.2438301856026
9523	chr18	22403609	22528614	125005	0	292	62	66	34	100	3	361831706	69.26776069329965
9683	chr18	37249011	37373953	124942	0	283	64	60	40	89	3	361956648	69.29167914050322
9541	chr18	23406534	23531385	124851	0	277	64	59	31	92	3	362081499	69.31558016699402
2163	chr10	80853076	80977533	124457	1	399	92	74	63	135	0	362205956	69.33940576754162
26190	chr9	80069767	80194168	124401	2	305	92	52	42	85	4	362330357	69.36322064765056
27175	chrX	51099527	51223720	124193	0	204	65	36	17	69	0	362454550	69.38699570898747
17969	chr28	2290994	2414635	123641	2	261	65	78	32	63	0	362578191	69.41066509742927
10161	chr18	92127856	92251322	123466	0	317	78	54	55	100	6	362701657	69.43430098450037
23844	chr7	59792059	59915319	123260	2	220	81	41	40	38	3	362824917	69.45789743567224
20734	chr4	105128358	105251493	123135	1	352	95	85	42	91	0	362948052	69.48146995729357
17143	chr26	29391409	29514524	123115	0	318	83	53	40	93	0	363071167	69.50503865018682
26128	chr9	76105246	76227748	122502	0	309	95	53	38	89	5	363193669	69.52848999256435
18481	chr3	19246095	19367904	121809	0	184	68	25	23	37	4	363315478	69.55180866951382
10191	chr18	95286562	95407971	121409	0	313	72	57	61	97	6	363436887	69.57505077190163
11879	chr2	40959753	41080853	121100	0	177	58	47	25	30	0	363557987	69.59823372044059
7406	chr15	105442068	105563058	120990	0	348	95	68	59	100	0	363678977	69.62139561097509
16085	chr24	16251384	16371899	120515	0	158	45	59	15	21	0	363799492	69.64446656921763
2561	chr10	116609960	116729950	119990	1	324	103	59	38	96	2	363919482	69.667437023348
1123	chr1	122776632	122896420	119788	1	293	80	67	28	84	0	364039270	69.69036880732475
17146	chr26	29898264	30017487	119223	0	307	81	55	37	89	0	364158493	69.71319242973316
21853	chr6	648832	767427	118595	0	220	69	55	29	42	0	364277088	69.7358958300798
26377	chr9	101576359	101694771	118412	2	205	49	37	21	63	3	364395500	69.75856419756447
18929	chr3	78853197	78971522	118325	0	221	63	36	33	49	4	364513825	69.78121591008198
12315	chr2	75787632	75905790	118158	0	341	155	37	31	87	1	364631983	69.80383565272001
19351	chr3	114445925	114563310	117385	3	200	60	42	19	61	0	364749368	69.82630741501765
21052	chr5	36481841	36599218	117377	2	284	70	54	45	75	4	364866745	69.84877764582407
6785	chr15	43914131	44031162	117031	0	345	97	56	60	102	0	364983776	69.87118163963466
10072	chr18	83536828	83653748	116920	0	475	418	16	0	41	0	365100696	69.89356438400438
2251	chr10	86992980	87109736	116756	0	302	87	49	43	103	1	365217452	69.91591573280384
6772	chr15	43193599	43310208	116609	0	371	100	59	61	119	0	365334061	69.93823894045188
26378	chr9	101708386	101824165	115779	1	179	62	44	8	44	2	365449840	69.9604032558845
1128	chr1	123195259	123310989	115730	0	248	81	59	19	63	0	365565570	69.98255819093333
28954	chrY	85414010	85529625	115615	0	61	15	7	15	16	0	365681185	70.00469111079568
10187	chr18	95129533	95245020	115487	0	243	57	58	26	77	3	365796672	70.02679952679831
9739	chr18	41790520	41905992	115472	0	257	57	53	37	78	3	365912144	70.04890507125488
19800	chr4	16834858	16950046	115188	1	232	61	54	30	55	10	366027332	70.07095624777267
10224	chr18	97138513	97253573	115060	0	269	64	66	31	79	3	366142392	70.09298292043073
16803	chr25	26727454	26842410	114956	3	253	60	44	43	66	2	366257348	70.11498968370276
9661	chr18	35713802	35828754	114952	0	85	54	0	2	2	0	366372300	70.13699568122918
10211	chr18	96116589	96231494	114905	0	244	59	52	25	80	3	366487205	70.1589926812446
10247	chr18	98129849	98244709	114860	0	258	57	60	28	86	3	366602065	70.18098106662185
13713	chr20	87725366	87840207	114841	1	195	42	49	23	64	0	366716906	70.20296581470741
15280	chr22	74848548	74963376	114828	17	183	23	33	22	55	0	366831734	70.22494807411972
10164	chr18	92287010	92401818	114808	0	247	55	52	29	85	3	366946542	70.24692650480394
10156	chr18	91840400	91955155	114755	0	245	55	52	28	85	3	367061297	70.26889478935875
17186	chr26	35500404	35615048	114644	4	359	107	66	66	71	6	367175941	70.29084182447271
12290	chr2	71690263	71804155	113892	0	345	154	60	34	71	0	367289833	70.31264489941076
7917	chr16	44668545	44782268	113723	2	236	56	78	19	52	0	367403556	70.33441562159652
10160	chr18	92014211	92127756	113545	0	263	84	34	41	87	4	367517101	70.35615226810233
26987	chrX	29308657	29421888	113231	0	245	74	51	25	66	4	367630332	70.37782880357726
20513	chr4	86924023	87037242	113219	1	387	105	63	47	142	1	367743551	70.39950304181535
28931	chrY	76348559	76461775	113216	0	171	31	55	43	19	0	367856767	70.42117670574422
18919	chr3	78344507	78457646	113139	2	221	68	47	29	48	0	367969906	70.44283562906996
6818	chr15	45356868	45469869	113001	0	327	86	67	45	104	0	368082907	70.46446813417194
24761	chr8	46764066	46877063	112997	2	182	62	47	26	24	2	368195904	70.4860998735283
14401	chr21	75685039	75797921	112882	0	235	64	46	38	64	1	368308786	70.5077095976982
19145	chr3	102725295	102838119	112824	1	141	36	53	17	24	0	368421610	70.52930821855665
19386	chr3	116832286	116944939	112653	1	191	66	51	14	43	0	368534263	70.55087410379
26993	chrX	29480125	29592312	112187	0	236	71	38	37	67	3	368646450	70.57235077965902
23405	chr7	21160265	21272441	112176	0	250	56	56	32	78	0	368758626	70.5938253497276
8736	chr17	24951435	25063021	111586	3	181	59	44	23	35	0	368870212	70.61518697231776
11830	chr2	38266407	38377982	111575	0	405	96	56	58	148	0	368981787	70.63654648910746
11392	chr2	8176567	8287838	111271	0	295	78	78	38	59	1	369093058	70.65784780923032
21996	chr6	13822642	13933650	111008	0	191	64	31	34	39	3	369204066	70.67909878157889
6851	chr15	48131831	48242544	110713	0	333	94	61	53	102	0	369314779	70.70029328018825
28830	chrY	64562624	64673020	110396	0	194	83	15	15	22	0	369425175	70.72142709345749
26148	chr9	77220011	77330160	110149	2	299	84	53	40	88	3	369535324	70.74251362193492
28677	chrX	191112265	191221803	109538	0	59	11	8	16	15	0	369644862	70.76348318276942
24954	chr8	58688152	58797559	109407	0	317	137	0	29	92	0	369754269	70.784427665435
5427	chr13	119971132	120080242	109110	1	192	46	49	24	44	0	369863379	70.80531529148855
14458	chr21	88123488	88232155	108667	0	287	98	50	33	89	1	369972046	70.82611811121508
28421	chrX	161910688	162018971	108283	4	259	70	47	30	85	3	370080329	70.84684741936242
10794	chr19	41599891	41708065	108174	3	395	78	47	143	73	0	370188503	70.8675558609417
21998	chr6	13965235	14071993	106758	1	334	96	21	55	97	7	370295261	70.88799322857278
12326	chr2	76360162	76466787	106625	0	331	104	66	37	82	4	370401886	70.90840513516208
28930	chrY	76229774	76336307	106533	0	202	45	55	56	27	0	370508419	70.92879942960222
11360	chr2	5930992	6037405	106413	0	291	76	77	26	65	1	370614832	70.94917075167385
5429	chr13	120229459	120335634	106175	0	227	59	63	42	43	0	370721007	70.96949651188132
26129	chr9	76228525	76334607	106082	2	264	77	33	38	85	3	370827089	70.98980446850318
1009	chr1	109454851	109560923	106072	0	154	36	38	18	36	0	370933161	71.01011051076101
13571	chr20	73443260	73549207	105947	0	60	13	34	5	5	0	371039108	71.03039262346833
5	chr1	489537	595279	105742	7	377	95	64	58	112	4	371144850	71.05063549171281
14388	chr21	74680617	74786276	105659	4	224	65	48	19	74	8	371250509	71.07086247073575
26706	chrX	7050421	7155506	105085	1	223	52	60	34	62	0	371355594	71.0909795652627
4432	chr12	119550301	119654842	104541	2	224	51	74	34	41	2	371460135	71.11099251838583
8759	chr17	26116963	26221309	104346	2	260	67	62	28	80	0	371564481	71.13096814141015
20144	chr4	51777732	51881577	103845	4	194	73	62	11	30	0	371668326	71.15084785479601
20249	chr4	59696815	59799991	103176	3	173	64	51	16	30	1	371771502	71.1705994972275
11324	chr2	1466873	1569670	102797	0	264	124	47	29	46	0	371874299	71.19027858526185
10065	chr18	83248901	83350982	102081	0	420	368	10	1	41	0	371976380	71.20982060483084
5418	chr13	119541639	119643645	102006	0	162	50	44	23	32	0	372078386	71.22934826666952
6845	chr15	47557430	47659361	101931	0	286	78	51	55	79	0	372180317	71.24886157077789
24652	chr8	37294501	37396011	101510	0	260	80	56	30	69	0	372281827	71.26829428016012
17135	chr26	22001597	22102854	101257	0	183	71	33	11	39	0	372383084	71.28767855613212
7336	chr15	102861699	102962871	101172	0	293	87	63	44	81	0	372484256	71.30704656000977
14429	chr21	80456532	80556748	100216	0	144	39	13	7	60	0	372584472	71.32623155068507
23153	chr6	136739347	136839351	100004	0	315	59	45	95	88	0	372684476	71.3453759568427
518	chr1	58635131	58734839	99708	3	270	80	56	21	69	0	372784184	71.3644636978247
20589	chr4	91811281	91910738	99457	0	246	77	57	38	56	1	372883641	71.38350338826929
1578	chr10	99	99261	99162	1	371	90	59	39	154	0	372982803	71.40248660497464
1608	chr10	1433616	1532344	98728	1	370	83	59	39	156	0	373081531	71.42138673828062
23712	chr7	47626887	47725254	98367	11	494	110	49	69	209	3	373179898	71.44021776304471
12280	chr2	71216433	71314787	98354	0	285	126	47	31	55	0	373278252	71.45904629913554
26138	chr9	76458672	76556887	98215	1	204	58	24	20	62	1	373376467	71.4778482255662
28832	chrY	64881932	64979925	97993	0	237	115	32	15	43	0	373474460	71.49660765311515
8717	chr17	24225637	24323460	97823	6	234	65	45	42	57	0	373572283	71.5153345364754
11389	chr2	7963518	8061300	97782	0	282	149	27	20	65	0	373670065	71.53405357094307
20593	chr4	92261933	92359255	97322	0	189	53	52	14	57	0	373767387	71.55268454466486
24764	chr8	46952468	47049782	97314	4	234	74	32	54	36	4	373864701	71.5713139868954
19787	chr4	15752896	15849819	96923	2	261	57	52	30	83	5	373961624	71.58986857749194
28833	chrY	64980279	65076615	96336	0	284	97	32	26	80	5	374057960	71.60831079491926
20849	chr5	11189730	11285912	96182	3	233	62	53	32	60	3	374154142	71.62672353114034
14381	chr21	73679016	73774832	95816	0	210	58	38	17	73	9	374249958	71.64506620163752
7307	chr15	101562013	101657788	95775	0	289	84	52	48	82	0	374345733	71.66340102324213
14377	chr21	72700087	72795718	95631	1	214	63	38	15	73	9	374441364	71.68170827800454
27002	chrX	29985529	30080898	95369	1	190	53	34	23	57	0	374536733	71.69996537642908
10622	chr19	24217163	24312531	95368	1	363	79	67	70	98	0	374632101	71.7182222834172
11368	chr2	6326715	6422081	95366	1	281	149	21	23	68	0	374727467	71.73647880753254
11520	chr2	22417197	22512209	95012	3	370	102	50	50	129	0	374822479	71.7546675631608
7304	chr15	101369550	101464491	94941	0	292	77	60	43	87	0	374917420	71.77284272680437
15455	chr23	14756256	14850981	94725	0	131	39	32	15	30	6	375012145	71.79097654018464
5372	chr13	118007783	118102353	94570	2	142	33	44	17	31	2	375106715	71.80908068092229
6853	chr15	48259848	48354196	94348	0	269	73	57	42	73	0	375201063	71.82714232277822
19101	chr3	100116590	100210865	94275	0	0	0	0	0	0	0	375295338	71.84518998977664
12259	chr2	68877449	68971220	93771	2	193	39	31	22	65	4	375389109	71.8631411728274
11593	chr2	25094107	25187878	93771	1	124	26	45	21	19	0	375482880	71.88109235587815
19384	chr3	116656191	116749898	93707	2	166	43	58	9	40	0	375576587	71.89903128699903
19340	chr3	113611532	113705205	93673	0	203	49	45	17	68	1	375670260	71.91696370928217
24331	chr7	133005632	133098992	93360	0	270	52	40	73	74	0	375763620	71.93483621197085
20836	chr5	10189013	10282265	93252	1	155	47	37	9	37	1	375856872	71.95268803952784
24342	chr8	13556	106608	93052	1	295	60	46	89	72	0	375949924	71.97050157980404
8078	chr16	55042894	55135697	92803	3	199	54	37	42	45	0	376042727	71.9882674524156
18668	chr3	41014859	41107407	92548	1	471	146	20	9	192	34	376135275	72.00598450874412
1368	chr1	155532287	155624500	92213	1	188	56	45	18	42	0	376227488	72.02363743387724
27261	chrX	56923439	57015583	92144	0	272	16	7	11	29	0	376319632	72.04127714989849
21959	chr6	12063576	12155529	91953	1	158	56	16	21	39	1	376411585	72.05888030156655
28946	chrY	83565200	83655658	90458	0	108	44	27	10	16	0	376502043	72.07619725581044
6283	chr14	104445807	104536130	90323	2	111	40	24	13	15	0	376592366	72.09348836613981
11600	chr2	25782805	25873113	90308	0	143	32	35	28	19	0	376682674	72.11077660492307
28823	chrY	63255289	63345466	90177	0	192	87	15	15	15	0	376772851	72.12803976553742
19291	chr3	111719078	111808959	89881	0	197	51	35	21	59	1	376862732	72.14524626097615
27409	chrX	70758976	70848832	89856	1	159	50	40	20	30	0	376952588	72.16244797050476
12344	chr2	80707338	80797112	89774	0	80	74	3	0	0	0	377042362	72.17963398224825
15456	chr23	14871702	14961332	89630	1	200	50	55	12	52	0	377131992	72.19679242714953
1962	chr10	46932731	47022251	89520	2	218	65	33	36	55	0	377221512	72.21392981404637
26139	chr9	76557628	76647137	89509	4	303	77	49	53	86	5	377311021	72.23106509514277
24677	chr8	42134656	42224114	89458	1	123	24	35	18	19	2	377400479	72.24819061298254
7849	chr16	41415198	41504541	89343	5	218	55	33	58	48	0	377489822	72.26529411563585
26921	chrX	27479177	27567897	88720	1	250	68	49	33	82	1	377578542	72.2822783534094
27763	chrX	102549172	102637764	88592	1	200	50	63	41	36	0	377667134	72.2992380873232
15926	chr24	21538	109980	88442	0	270	50	48	70	69	0	377755576	72.3161691057764
20776	chr5	4505996	4594318	88322	1	331	58	68	90	86	0	377843898	72.33307715186109
20202	chr4	56166899	56255173	88274	1	227	82	29	42	48	7	377932172	72.3499760089984
