	Unnamed: 0	Chromosome	source	type	Gene Start	Gene End	score	Strand	phase	attributes	gene	Start	End	overlaps_dup
4752	208011	chr3	Liftoff	gene	78129143	78130081	.	-	.	ID=gene-Or2l3;Dbxref=GeneID:101561526;Name=Or2l3;origin=rename;copy_num_ID=gene-LOC101561526_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101561526;gene_biotype=protein_coding;sequence_ID=0.997;valid_ORFs=1	OR2L3	78129142	78130081	True
4753	208015	chr3	Liftoff	gene	78161236	78162174	.	-	.	ID=gene-LOC101561923;Dbxref=GeneID:101561923;Name=LOC101561923;origin=liftoff;copy_num_ID=gene-LOC101561923_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101561923;gene_biotype=protein_coding;sequence_ID=0.988;valid_ORFs=1	LOC101561923	78161235	78162174	True
4761	208047	chr3	Liftoff	gene	78361730	78362668	.	-	.	ID=gene-LOC101567886;Dbxref=GeneID:101567886;Name=LOC101567886;origin=liftoff;copy_num_ID=gene-LOC101567886_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101567886;gene_biotype=protein_coding;sequence_ID=0.970;valid_ORFs=1	LOC101567886	78361729	78362668	True
4762	208051	chr3	Liftoff	gene	78394765	78395691	.	-	.	ID=gene-LOC101563928;Dbxref=GeneID:101563928;Name=LOC101563928;origin=liftoff;copy_num_ID=gene-LOC101563928_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101563928;gene_biotype=protein_coding;sequence_ID=0.982;valid_ORFs=1	LOC101563928	78394764	78395691	True
4767	208085	chr3	Liftoff	gene	78651326	78652945	.	-	.	ID=gene-LOC111814693;Dbxref=GeneID:111814693;Name=LOC111814693;origin=liftoff;copy_num_ID=gene-LOC111814693_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC111814693;gene_biotype=lncRNA;sequence_ID=0.991	LOC111814693	78651325	78652945	True
4768	208090	chr3	Liftoff	gene	78664953	78758120	.	-	.	ID=gene-LOC101575049;Dbxref=GeneID:101575049;Name=LOC101575049;origin=liftoff;copy_num_ID=gene-LOC101575049_0;coverage=0.822;extra_copy_number=0;gbkey=Gene;gene=LOC101575049;gene_biotype=protein_coding;sequence_ID=0.765;valid_ORFs=0	LOC101575049	78664952	78758120	True
4778	208156	chr3	Liftoff	gene	79471921	79472880	.	+	.	ID=gene-LOC101561394;Dbxref=GeneID:101561394;Name=LOC101561394;origin=liftoff;copy_num_ID=gene-LOC101561394_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101561394;gene_biotype=protein_coding;sequence_ID=0.996;valid_ORFs=1	LOC101561394	79471920	79472880	True
4846	213422	chr3	Liftoff	gene	83353964	83441875	.	+	.	ID=gene-Znf451;Dbxref=GeneID:101583815;Name=Znf451;origin=liftoff;copy_num_ID=gene-Znf451_0;coverage=0.999;extra_copy_number=0;gbkey=Gene;gene=Znf451;gene_biotype=protein_coding;sequence_ID=0.999;valid_ORFs=7	ZNF451	83353963	83441875	True
4916	215996	chr3	Liftoff	gene	101929726	101930670	.	+	.	ID=gene-LOC101564594;Dbxref=GeneID:101564594;Name=LOC101564594;origin=liftoff;copy_num_ID=gene-LOC101564594_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101564594;gene_biotype=protein_coding;sequence_ID=0.995;valid_ORFs=1	LOC101564594	101929725	101930670	True
4930	216098	chr3	Liftoff	gene	102728746	102811377	.	-	.	ID=gene-LOC101586783;Dbxref=GeneID:101586783;Name=LOC101586783;origin=liftoff;copy_num_ID=gene-LOC101586783_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101586783;gene_biotype=protein_coding;sequence_ID=0.998;valid_ORFs=1	LOC101586783	102728745	102811377	True
4985	218192	chr3	Liftoff	gene	104682385	104693930	.	-	.	ID=gene-LOC101587681;Dbxref=GeneID:101587681;Name=LOC101587681;origin=liftoff;copy_num_ID=gene-LOC101587681_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101587681;gene_biotype=protein_coding;sequence_ID=0.999;valid_ORFs=1	LOC101587681	104682384	104693930	True
4986	218220	chr3	Liftoff	gene	104698659	104737349	.	+	.	ID=gene-LOC101587295;Dbxref=GeneID:101587295;Name=LOC101587295;origin=liftoff;copy_num_ID=gene-LOC101587295_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101587295;gene_biotype=protein_coding;sequence_ID=0.998;valid_ORFs=1	LOC101587295	104698658	104737349	True
4987	218240	chr3	Liftoff	gene	104730646	104756487	.	+	.	ID=gene-Ddx11;Dbxref=GeneID:101586899;Name=Ddx11;origin=liftoff;copy_num_ID=gene-Ddx11_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=Ddx11;gene_biotype=protein_coding;sequence_ID=0.998;valid_ORFs=6	DDX11	104730645	104756487	True
4990	218674	chr3	Liftoff	gene	104877476	104948255	.	+	.	ID=gene-Vmn2r116-l3;Dbxref=GeneID:101585316;Name=Vmn2r116-l3;origin=rename;copy_num_ID=gene-LOC101585316_0;coverage=0.999;extra_copy_number=0;gbkey=Gene;gene=LOC101585316;gene_biotype=protein_coding;sequence_ID=0.996;valid_ORFs=0	VMN2R116-L3	104877475	104948255	True
5062	222225	chr3	Liftoff	gene	106246163	106311578	.	-	.	ID=gene-LOC101588350;Dbxref=GeneID:101588350;Name=LOC101588350;origin=liftoff;copy_num_ID=gene-LOC101588350_0;coverage=0.999;extra_copy_number=0;gbkey=Gene;gene=LOC101588350;gene_biotype=protein_coding;partial=true;sequence_ID=0.998;start_range=.,125855;valid_ORFs=0	LOC101588350	106246162	106311578	True
5064	222247	chr3	Liftoff	gene	106348349	106366823	.	-	.	ID=gene-LOC101572247;Dbxref=GeneID:101572247;Name=LOC101572247;origin=liftoff;copy_num_ID=gene-LOC101572247_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101572247;gene_biotype=protein_coding;sequence_ID=0.998;valid_ORFs=1	LOC101572247	106348348	106366823	True
5068	222307	chr3	Liftoff	gene	106663118	106667462	.	+	.	ID=gene-LOC101587791;Dbxref=GeneID:101587791;Name=LOC101587791;origin=liftoff;copy_num_ID=gene-LOC101587791_0;coverage=0.095;extra_copy_number=0;gbkey=Gene;gene=LOC101587791;gene_biotype=protein_coding;low_identity=True;partial_mapping=True;sequence_ID=0.095;valid_ORFs=0	LOC101587791	106663117	106667462	True
5069	222313	chr3	Liftoff	gene	106723641	106730974	.	+	.	ID=gene-LOC101587398;Dbxref=GeneID:101587398;Name=LOC101587398;origin=liftoff;copy_num_ID=gene-LOC101587398_0;coverage=0.913;extra_copy_number=0;gbkey=Gene;gene=LOC101587398;gene_biotype=protein_coding;sequence_ID=0.910;valid_ORFs=0	LOC101587398	106723640	106730974	True
5070	222325	chr3	Liftoff	gene	106913686	106923015	.	+	.	ID=gene-Vmn2r116-l5;Dbxref=GeneID:101586613;Name=Vmn2r116-l5;origin=rename;copy_num_ID=gene-LOC101586613_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101586613;gene_biotype=protein_coding;sequence_ID=0.994;valid_ORFs=1	VMN2R116-L5	106913685	106923015	True
5071	222339	chr3	Liftoff	gene	106931207	107006564	.	-	.	ID=gene-LOC101586209;Dbxref=GeneID:101586209;Name=LOC101586209;origin=liftoff;copy_num_ID=gene-LOC101586209_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101586209;gene_biotype=protein_coding;sequence_ID=0.999;valid_ORFs=1	LOC101586209	106931206	107006564	True
5079	222471	chr3	Liftoff	gene	107429410	107463762	.	+	.	ID=gene-LOC101582276;Dbxref=GeneID:101582276;Name=LOC101582276;origin=liftoff;copy_num_ID=gene-LOC101582276_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101582276;gene_biotype=protein_coding;sequence_ID=1.0;valid_ORFs=1	LOC101582276	107429409	107463762	True
5080	222483	chr3	Liftoff	gene	107518200	107539480	.	+	.	ID=gene-LOC101581887;Dbxref=GeneID:101581887;Name=LOC101581887;origin=liftoff;copy_num_ID=gene-LOC101581887_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101581887;gene_biotype=protein_coding;sequence_ID=0.998;valid_ORFs=1	LOC101581887	107518199	107539480	True
5081	222495	chr3	Liftoff	gene	107555991	107558363	.	+	.	ID=gene-LOC101581501;Dbxref=GeneID:101581501;Name=LOC101581501;origin=liftoff;copy_num_ID=gene-LOC101581501_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101581501;gene_biotype=protein_coding;sequence_ID=0.997;valid_ORFs=0	LOC101581501	107555990	107558363	True
5082	222501	chr3	Liftoff	gene	107599485	107656238	.	+	.	ID=gene-LOC101580716;Dbxref=GeneID:101580716;Name=LOC101580716;origin=liftoff;copy_num_ID=gene-LOC101580716_0;coverage=0.578;extra_copy_number=0;gbkey=Gene;gene=LOC101580716;gene_biotype=protein_coding;sequence_ID=0.578;valid_ORFs=0	LOC101580716	107599484	107656238	True
5083	222511	chr3	Liftoff	gene	107657737	107682216	.	+	.	ID=gene-LOC101580316;Dbxref=GeneID:101580316;Name=LOC101580316;origin=liftoff;copy_num_ID=gene-LOC101580316_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101580316;gene_biotype=protein_coding;sequence_ID=0.998;valid_ORFs=1	LOC101580316	107657736	107682216	True
5084	222527	chr3	Liftoff	gene	107761153	107810167	.	+	.	ID=gene-LOC101579922;Dbxref=GeneID:101579922;Name=LOC101579922;origin=liftoff;copy_num_ID=gene-LOC101579922_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101579922;gene_biotype=protein_coding;sequence_ID=0.997;valid_ORFs=1	LOC101579922	107761152	107810167	True
5085	222543	chr3	Liftoff	gene	107913257	107980208	.	+	.	ID=gene-LOC111813702;Dbxref=GeneID:111813702;Name=LOC111813702;origin=liftoff;copy_num_ID=gene-LOC111813702_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC111813702;gene_biotype=protein_coding;sequence_ID=0.986;valid_ORFs=0	LOC111813702	107913256	107980208	True
5086	222557	chr3	Liftoff	gene	107986946	108017829	.	+	.	ID=gene-LOC101578745;Dbxref=GeneID:101578745;Name=LOC101578745;origin=liftoff;copy_num_ID=gene-LOC101578745_0;coverage=0.999;extra_copy_number=0;gbkey=Gene;gene=LOC101578745;gene_biotype=protein_coding;sequence_ID=0.996;valid_ORFs=0	LOC101578745	107986945	108017829	True
5087	222573	chr3	Liftoff	gene	108058329	108082788	.	+	.	ID=gene-LOC101578342;Dbxref=GeneID:101578342;Name=LOC101578342;origin=liftoff;copy_num_ID=gene-LOC101578342_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101578342;gene_biotype=protein_coding;sequence_ID=0.997;valid_ORFs=1	LOC101578342	108058328	108082788	True
5168	226479	chr3	gmst	gene	112820584	112822194	.	-	.	ID=gene-Arpc5-dl4;Name=Arpc5-dl4;origin=de_novo	ARPC5-DL4	112820583	112822194	True
5169	226487	chr3	AUGUSTUS	gene	112955184	112956573	.	+	.	ID=gene-Emb-dl2;Name=Emb-dl2;origin=de_novo	EMB-DL2	112955183	112956573	True
5171	226503	chr3	Liftoff	gene	113074356	113114325	.	+	.	ID=gene-LOC101572649;Dbxref=GeneID:101572649;Name=LOC101572649;origin=liftoff;copy_num_ID=gene-LOC101572649_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101572649;gene_biotype=protein_coding;sequence_ID=1.0;valid_ORFs=0	LOC101572649	113074355	113114325	True
5172	226519	chr3	Liftoff	gene	113132987	113148136	.	+	.	ID=gene-LOC101572251;Dbxref=GeneID:101572251;Name=LOC101572251;origin=liftoff;copy_num_ID=gene-LOC101572251_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101572251;gene_biotype=protein_coding;sequence_ID=0.997;valid_ORFs=1	LOC101572251	113132986	113148136	True
5177	226584	chr3	Liftoff	gene	113451400	113459461	.	+	.	ID=gene-LOC101569060;Dbxref=GeneID:101569060;Name=LOC101569060;origin=liftoff;copy_num_ID=gene-LOC101569060_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101569060;gene_biotype=protein_coding;sequence_ID=0.988;valid_ORFs=1	LOC101569060	113451399	113459461	True
5178	226598	chr3	Liftoff	gene	113485028	113545147	.	-	.	ID=gene-LOC101568669;Dbxref=GeneID:101568669;Name=LOC101568669;origin=liftoff;copy_num_ID=gene-LOC101568669_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101568669;gene_biotype=protein_coding;sequence_ID=0.998;valid_ORFs=0	LOC101568669	113485027	113545147	True
5179	226616	chr3	Liftoff	gene	113573951	113587826	.	-	.	ID=gene-LOC101567873;Dbxref=GeneID:101567873;Name=LOC101567873;origin=liftoff;copy_num_ID=gene-LOC101567873_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101567873;gene_biotype=protein_coding;sequence_ID=0.999;valid_ORFs=1	LOC101567873	113573950	113587826	True
5180	226632	chr3	Liftoff	gene	113743128	113791976	.	-	.	ID=gene-LOC101566672;Dbxref=GeneID:101566672;Name=LOC101566672;origin=liftoff;copy_num_ID=gene-LOC101566672_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101566672;gene_biotype=protein_coding;sequence_ID=0.993;valid_ORFs=1	LOC101566672	113743127	113791976	True
5181	226650	chr3	Liftoff	gene	113831159	113849732	.	+	.	ID=gene-LOC101565484;Dbxref=GeneID:101565484;Name=LOC101565484;origin=liftoff;copy_num_ID=gene-LOC101565484_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101565484;gene_biotype=protein_coding;sequence_ID=0.998;valid_ORFs=1	LOC101565484	113831158	113849732	True
5182	226664	chr3	Liftoff	gene	113851741	113898309	.	+	.	ID=gene-LOC101565086;Dbxref=GeneID:101565086;Name=LOC101565086;origin=liftoff;copy_num_ID=gene-LOC101565086_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101565086;gene_biotype=protein_coding;sequence_ID=0.996;valid_ORFs=0	LOC101565086	113851740	113898309	True
5183	226690	chr3	Liftoff	gene	113902609	113909189	.	-	.	ID=gene-LOC101564703;Dbxref=GeneID:101564703;Name=LOC101564703;origin=liftoff;copy_num_ID=gene-LOC101564703_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101564703;gene_biotype=protein_coding;sequence_ID=0.997;valid_ORFs=0	LOC101564703	113902608	113909189	True
5184	226700	chr3	Liftoff	gene	113910325	113966897	.	+	.	ID=gene-LOC101564306;Dbxref=GeneID:101564306;Name=LOC101564306;origin=liftoff;copy_num_ID=gene-LOC101564306_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101564306;gene_biotype=protein_coding;sequence_ID=0.998;valid_ORFs=1	LOC101564306	113910324	113966897	True
5185	226718	chr3	Liftoff	gene	113985889	113998063	.	-	.	ID=gene-LOC101563911;Dbxref=GeneID:101563911;Name=LOC101563911;origin=liftoff;copy_num_ID=gene-LOC101563911_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101563911;gene_biotype=protein_coding;sequence_ID=0.998;valid_ORFs=1	LOC101563911	113985888	113998063	True
5186	226734	chr3	Liftoff	gene	114023162	114066770	.	-	.	ID=gene-LOC101563509;Dbxref=GeneID:101563509;Name=LOC101563509;origin=liftoff;copy_num_ID=gene-LOC101563509_0;coverage=0.999;extra_copy_number=0;gbkey=Gene;gene=LOC101563509;gene_biotype=protein_coding;sequence_ID=0.987;valid_ORFs=0	LOC101563509	114023161	114066770	True
5187	226750	chr3	Liftoff	gene	114225329	114251947	.	-	.	ID=gene-LOC101562299;Dbxref=GeneID:101562299;Name=LOC101562299;origin=liftoff;copy_num_ID=gene-LOC101562299_0;coverage=0.998;extra_copy_number=0;gbkey=Gene;gene=LOC101562299;gene_biotype=protein_coding;sequence_ID=0.961;valid_ORFs=0	LOC101562299	114225328	114251947	True
5188	226764	chr3	Liftoff	gene	114257087	114310402	.	-	.	ID=gene-Vmn2r116-l6;Dbxref=GeneID:101561904;Name=Vmn2r116-l6;origin=rename;copy_num_ID=gene-LOC101561904_0;coverage=0.998;extra_copy_number=0;gbkey=Gene;gene=LOC101561904;gene_biotype=protein_coding;sequence_ID=0.994;valid_ORFs=1	VMN2R116-L6	114257086	114310402	True
5189	226784	chr3	Liftoff	gene	114358338	114386168	.	-	.	ID=gene-LOC101560721;Dbxref=GeneID:101560721;Name=LOC101560721;origin=liftoff;copy_num_ID=gene-LOC101560721_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101560721;gene_biotype=protein_coding;sequence_ID=0.993;valid_ORFs=0	LOC101560721	114358337	114386168	True
5191	226816	chr3	Liftoff	gene	114436921	114483816	.	+	.	ID=gene-LOC101592925;Dbxref=GeneID:101592925;Name=LOC101592925;origin=liftoff;copy_num_ID=gene-LOC101592925_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101592925;gene_biotype=protein_coding;sequence_ID=0.997;valid_ORFs=1	LOC101592925	114436920	114483816	True
5192	226840	chr3	Liftoff	gene	114503616	114510241	.	+	.	ID=gene-LOC101592537;Dbxref=GeneID:101592537;Name=LOC101592537;origin=liftoff;copy_num_ID=gene-LOC101592537_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101592537;gene_biotype=protein_coding;sequence_ID=0.996;valid_ORFs=0	LOC101592537	114503615	114510241	True
5193	226854	chr3	Liftoff	gene	114529183	114559297	.	-	.	ID=gene-LOC101592156;Dbxref=GeneID:101592156;Name=LOC101592156;origin=liftoff;copy_num_ID=gene-LOC101592156_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101592156;gene_biotype=protein_coding;sequence_ID=0.996;valid_ORFs=1	LOC101592156	114529182	114559297	True
5197	226926	chr3	Liftoff	gene	114776396	114788231	.	+	.	ID=gene-LOC101590189;Dbxref=GeneID:101590189;Name=LOC101590189;origin=liftoff;copy_num_ID=gene-LOC101590189_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101590189;gene_biotype=protein_coding;sequence_ID=0.997;valid_ORFs=1	LOC101590189	114776395	114788231	True
5198	226942	chr3	Liftoff	gene	114928481	114942034	.	+	.	ID=gene-LOC101588603;Dbxref=GeneID:101588603;Name=LOC101588603;origin=liftoff;copy_num_ID=gene-LOC101588603_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101588603;gene_biotype=protein_coding;sequence_ID=0.992;valid_ORFs=0	LOC101588603	114928480	114942034	True
5199	226956	chr3	Liftoff	gene	114983849	114992460	.	-	.	ID=gene-LOC101588214;Dbxref=GeneID:101588214;Name=LOC101588214;origin=liftoff;copy_num_ID=gene-LOC101588214_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101588214;gene_biotype=protein_coding;sequence_ID=0.995;valid_ORFs=0	LOC101588214	114983848	114992460	True
5200	226972	chr3	Liftoff	gene	115020667	115061815	.	-	.	ID=gene-LOC101587813;Dbxref=GeneID:101587813;Name=LOC101587813;origin=liftoff;copy_num_ID=gene-LOC101587813_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101587813;gene_biotype=protein_coding;sequence_ID=0.997;valid_ORFs=0	LOC101587813	115020666	115061815	True
5201	226990	chr3	Liftoff	gene	115380694	115381632	.	-	.	ID=gene-LOC101570957;Dbxref=GeneID:101570957;Name=LOC101570957;origin=liftoff;copy_num_ID=gene-LOC101570957_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101570957;gene_biotype=protein_coding;sequence_ID=0.998;valid_ORFs=1	LOC101570957	115380693	115381632	True
5215	227117	chr3	Liftoff	gene	115876480	116778101	.	+	.	ID=gene-Znf699-l1;Dbxref=GeneID:101563650;Name=Znf699-l1;origin=rename;copy_num_ID=gene-LOC101563650_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101563650;gene_biotype=protein_coding;sequence_ID=0.999;valid_ORFs=8	ZNF699-L1	115876479	116778101	True
5236	227370	chr3	Liftoff	gene	116595735	116621406	.	-	.	ID=gene-LOC101565225;Dbxref=GeneID:101565225;Name=LOC101565225;origin=liftoff;copy_num_ID=gene-LOC101565225_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101565225;gene_biotype=protein_coding;sequence_ID=0.998;valid_ORFs=1	LOC101565225	116595734	116621406	True
5237	227386	chr3	Liftoff	gene	116657014	116680923	.	-	.	ID=gene-Vmn2r116-l8;Dbxref=GeneID:101564833;Name=Vmn2r116-l8;origin=rename;copy_num_ID=gene-LOC101564833_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101564833;gene_biotype=protein_coding;sequence_ID=0.999;valid_ORFs=1	VMN2R116-L8	116657013	116680923	True
5239	227407	chr3	Liftoff	gene	116920163	116924137	.	+	.	ID=gene-Vmn2r116-l9;Dbxref=GeneID:101562456;Name=Vmn2r116-l9;origin=rename;copy_num_ID=gene-LOC101562456_0;coverage=0.609;extra_copy_number=0;gbkey=Gene;gene=LOC101562456;gene_biotype=protein_coding;sequence_ID=0.608;valid_ORFs=0	VMN2R116-L9	116920162	116924137	True
5240	227419	chr3	Liftoff	gene	116953771	117012081	.	-	.	ID=gene-Znf426-l1;Dbxref=GeneID:101561263;Name=Znf426-l1;origin=rename;copy_num_ID=gene-LOC101561263_0;coverage=0.981;extra_copy_number=0;gbkey=Gene;gene=LOC101561263;gene_biotype=protein_coding;sequence_ID=0.981;valid_ORFs=0	ZNF426-L1	116953770	117012081	True
5241	227464	chr3	Liftoff	gene	116972867	116974144	.	+	.	ID=gene-Krt8-l1;Dbxref=GeneID:101561661;Name=Krt8-l1;origin=rename;copy_num_ID=gene-LOC101561661_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101561661;gene_biotype=protein_coding;sequence_ID=1.0;valid_ORFs=1	KRT8-L1	116972866	116974144	True
5358	233948	chr3	Liftoff	gene	119955308	119976134	.	+	.	ID=gene-Fut6;Dbxref=GeneID:101568560;Name=Fut6;origin=liftoff;copy_num_ID=gene-Fut6_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=Fut6;gene_biotype=protein_coding;sequence_ID=0.987;valid_ORFs=2	FUT6	119955307	119976134	True
5359	233973	chr3	Liftoff	gene	120003124	120004303	.	+	.	ID=gene-Fut3;Dbxref=GeneID:101567893;Name=Fut3;origin=rename;copy_num_ID=gene-LOC101567893_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101567893;gene_biotype=protein_coding;sequence_ID=0.997;valid_ORFs=1	FUT3	120003123	120004303	True
5360	233978	chr3	Liftoff	gene	120007361	120031003	.	+	.	ID=gene-Fut5;Dbxref=GeneID:101567494;Name=Fut5;origin=rename;copy_num_ID=gene-LOC101567494_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101567494;gene_biotype=protein_coding;partial=true;sequence_ID=0.997;start_range=.,6;valid_ORFs=0	FUT5	120007360	120031003	True
5587	245754	chr3	Liftoff	gene	125895909	125923938	.	-	.	ID=gene-LOC101572432;Dbxref=GeneID:101572432;Name=LOC101572432;origin=liftoff;copy_num_ID=gene-LOC101572432_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101572432;gene_biotype=protein_coding;sequence_ID=1.0;valid_ORFs=1	LOC101572432	125895908	125923938	True
5676	250438	chr3	Liftoff	gene	129089508	129092145	.	+	.	ID=gene-Cst3;Dbxref=GeneID:111817890;Name=Cst3;origin=rename;copy_num_ID=gene-LOC111817890_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC111817890;gene_biotype=protein_coding;sequence_ID=1.0;valid_ORFs=1	CST3	129089507	129092145	True
5743	253908	chr3	Liftoff	gene	137534683	137540579	.	-	.	ID=gene-LOC111817510;Dbxref=GeneID:111817510;Name=LOC111817510;origin=liftoff;copy_num_ID=gene-LOC111817510_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC111817510;gene_biotype=lncRNA;sequence_ID=0.996	LOC111817510	137534682	137540579	True
5744	253912	chr3	Liftoff	gene	137583405	137665682	.	+	.	ID=gene-Sel1l2;Dbxref=GeneID:101589417;Name=Sel1l2;origin=liftoff;copy_num_ID=gene-Sel1l2_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=Sel1l2;gene_biotype=protein_coding;sequence_ID=0.995;valid_ORFs=1	SEL1L2	137583404	137665682	True
5745	253940	chr3	Liftoff	gene	137706657	137742624	.	-	.	ID=gene-Ndufaf5;Dbxref=GeneID:101589024;Name=Ndufaf5;origin=liftoff;copy_num_ID=gene-Ndufaf5_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=Ndufaf5;gene_biotype=protein_coding;sequence_ID=0.997;valid_ORFs=2	NDUFAF5	137706656	137742624	True
5858	258419	chr4	Liftoff	gene	4740623	4741853	.	-	.	ID=gene-LOC105741362;Dbxref=GeneID:105741362;Name=LOC105741362;origin=liftoff;copy_num_ID=gene-LOC105741362_0;coverage=0.997;extra_copy_number=0;gbkey=Gene;gene=LOC105741362;gene_biotype=lncRNA;sequence_ID=0.997	LOC105741362	4740622	4741853	True
5859	258424	chr4	Liftoff	gene	5426702	5428547	.	-	.	ID=gene-Rpl22-l1;Dbxref=GeneID:101575951;Name=Rpl22-l1;origin=rename;copy_num_ID=gene-LOC101575951_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101575951;gene_biotype=protein_coding;sequence_ID=1.0;valid_ORFs=1	RPL22-L1	5426701	5428547	True
5860	258430	chr4	AUGUSTUS	gene	5951974	5952627	.	+	.	ID=gene-Rpl10a-dl1;Name=Rpl10a-dl1;origin=de_novo	RPL10A-DL1	5951973	5952627	True
5861	258437	chr4	AUGUSTUS	gene	7279513	7280076	.	-	.	ID=gene-Dhfr-dl6;Name=Dhfr-dl6;origin=de_novo	DHFR-DL6	7279512	7280076	True
5862	258444	chr4	AUGUSTUS	gene	7513847	7514410	.	+	.	ID=gene-Dhfr-dl7;Name=Dhfr-dl7;origin=de_novo	DHFR-DL7	7513846	7514410	True
5863	258451	chr4	Liftoff	gene	12480490	12487692	.	+	.	ID=gene-LOC101577431;Dbxref=GeneID:101577431;Name=LOC101577431;origin=liftoff;copy_num_ID=gene-LOC101577431_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101577431;gene_biotype=protein_coding;sequence_ID=1.0;valid_ORFs=0	LOC101577431	12480489	12487692	True
5864	258471	chr4	Liftoff	gene	12512936	12555912	.	+	.	ID=gene-LOC111814306;Dbxref=GeneID:111814306;Name=LOC111814306;origin=liftoff;copy_num_ID=gene-LOC111814306_0;coverage=0.924;extra_copy_number=0;gbkey=Gene;gene=LOC111814306;gene_biotype=lncRNA;sequence_ID=0.917	LOC111814306	12512935	12555912	True
5865	258490	chr4	Liftoff	gene	12520265	12530076	.	-	.	ID=gene-LOC111814307;Dbxref=GeneID:111814307;Name=LOC111814307;origin=liftoff;copy_num_ID=gene-LOC111814307_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC111814307;gene_biotype=lncRNA;sequence_ID=0.993	LOC111814307	12520264	12530076	True
5903	259444	chr4	Liftoff	gene	14454896	14459103	.	-	.	ID=gene-LOC101566279;Dbxref=GeneID:101566279;Name=LOC101566279;origin=liftoff;copy_num_ID=gene-LOC101566279_0;coverage=1.0;extra_copy_number=0;gbkey=Gene;gene=LOC101566279;gene_biotype=protein_coding;sequence_ID=0.990;valid_ORFs=1	LOC101566279	14454895	14459103	True
