gene	base_gene	Chromosome	gene_start_bed	gene_end_bed	region_start	region_end	region_length	gene_length	tier	is_paralog	num_copies	overlaps_dup	Strand	source
LOC111815629	LOC111815629	chr4	14771800	14771959	14766800	14776959	10159	159	T4	False	1	False	+	Liftoff
LOC111815617	LOC111815617	chr4	14798281	14798388	14793281	14803388	10107	107	T4	False	1	False	-	Liftoff
LOC101580026	LOC101580026	chr4	14817505	14837061	14812505	14842061	29556	19556	T3	False	1	True	+	Liftoff
PPP3CB-L1	PPP3CB	chr4	14894297	14897295	14889297	14902295	12998	2998	T2	True	2	True	+	Liftoff
LOC101579240	LOC101579240	chr4	14924265	14926119	14919265	14931119	11854	1854	T4	False	1	False	-	Liftoff
LOC105741415	LOC105741415	chr4	14947039	14947729	14942039	14952729	10690	690	T4	False	1	False	+	Liftoff
LOC101578849	LOC101578849	chr4	15008100	15011168	15003100	15016168	13068	3068	T3	False	1	True	+	Liftoff
LOC111815601	LOC111815601	chr4	15118026	15118133	15113026	15123133	10107	107	T3	False	1	True	+	Liftoff
SH3BGRL-DL3	SH3BGRL	chr4	15213730	15214075	15208730	15219075	10345	345	T2	True	5	True	-	AUGUSTUS
LOC105741647	LOC105741647	chr4	15223743	15225055	15218743	15230055	11312	1312	T4	False	1	False	+	Liftoff
LOC101578451	LOC101578451	chr4	15274755	15275694	15269755	15280694	10939	939	T4	False	1	False	+	Liftoff
LOC111815575	LOC111815575	chr4	15286097	15292321	15281097	15297321	16224	6224	T4	False	1	False	-	Liftoff
YBX3	YBX3	chr4	15292319	15409482	15287319	15414482	127163	117163	T3	False	1	True	+	Liftoff
STYK1	STYK1	chr4	15480923	15497124	15475923	15502124	26201	16201	T4	False	1	False	+	Liftoff
MAGOHB	MAGOHB	chr4	15507229	15516272	15502229	15521272	19043	9043	T4	False	1	False	+	Liftoff
LOC111815624	LOC111815624	chr4	15510284	15510415	15505284	15515415	10131	131	T4	False	1	False	+	Liftoff
KLRA1	KLRA1	chr4	15529373	15543834	15524373	15548834	24461	14461	T3	False	1	True	+	Liftoff
LOC111815608	LOC111815608	chr4	15591605	15591712	15586605	15596712	10107	107	T4	False	1	False	+	Liftoff
LOC111815628	LOC111815628	chr4	15601474	15601576	15596474	15606576	10102	102	T4	False	1	False	-	Liftoff
KLRC1	KLRC1	chr4	15679833	15685044	15674833	15690044	15211	5211	T3	False	1	True	+	Liftoff
LOC101576031	LOC101576031	chr4	15702504	15719048	15697504	15724048	26544	16544	T3	False	1	True	+	Liftoff
LOC111815613	LOC111815613	chr4	15726903	15727010	15721903	15732010	10107	107	T4	False	1	False	-	Liftoff
LOC101575249	LOC101575249	chr4	15771401	15785582	15766401	15790582	24181	14181	T3	False	1	True	+	Liftoff
LOC111815599	LOC111815599	chr4	15784409	15784516	15779409	15789516	10107	107	T3	False	1	True	+	Liftoff
KLRA4	KLRA4	chr4	15906398	15921979	15901398	15926979	25581	15581	T3	False	1	True	+	AUGUSTUS
KLRD1	KLRD1	chr4	15969070	15976938	15964070	15981938	17868	7868	T4	False	1	False	-	Liftoff
GABARAPL1	GABARAPL1	chr4	16054882	16062900	16049882	16067900	18018	8018	T3	False	2	True	-	Liftoff
LOC111815213	LOC111815213	chr4	16078956	16079085	16073956	16084085	10129	129	T4	False	1	False	+	Liftoff
TMEM52B	TMEM52B	chr4	16088770	16098449	16083770	16103449	19679	9679	T4	False	1	False	-	Liftoff
OLR1	OLR1	chr4	16105101	16118249	16100101	16123249	23148	13148	T4	False	1	False	+	Liftoff
CLEC7A	CLEC7A	chr4	16145335	16156692	16140335	16161692	21357	11357	T4	False	1	False	+	Liftoff
CLEC1A	CLEC1A	chr4	16170029	16199829	16165029	16204829	39800	29800	T4	False	1	False	+	Liftoff
CLEC9A	CLEC9A	chr4	16209372	16218438	16204372	16223438	19066	9066	T4	False	1	False	-	Liftoff
CLEC1B	CLEC1B	chr4	16225023	16232540	16220023	16237540	17517	7517	T4	False	1	False	-	Liftoff
CLEC12B	CLEC12B	chr4	16246855	16264477	16241855	16269477	27622	17622	T4	False	1	False	+	Liftoff
LOC111815183	LOC111815183	chr4	16267075	16274563	16262075	16279563	17488	7488	T3	False	1	True	-	Liftoff
LOC111815159	LOC111815159	chr4	16295205	16308975	16290205	16313975	23770	13770	T4	False	1	False	+	Liftoff
LOC111815174	LOC111815174	chr4	16337051	16345537	16332051	16350537	18486	8486	T4	False	1	False	+	Liftoff
LOC111815162	LOC111815162	chr4	16355031	16368717	16350031	16373717	23686	13686	T4	False	1	False	+	Liftoff
TAS2R13	TAS2R13	chr4	16387996	16388938	16382996	16393938	10942	942	T4	False	1	False	+	Liftoff
LOC101578438	LOC101578438	chr4	16429904	16430807	16424904	16435807	10903	903	T4	False	1	False	-	Liftoff
LOC101574438	LOC101574438	chr4	16536464	16537394	16531464	16542394	10930	930	T3	False	1	True	+	Liftoff
SNRPA-L1	SNRPA	chr4	16650500	16651417	16645500	16656417	10917	917	T2	True	2	True	-	Liftoff
LOC101576021	LOC101576021	chr4	16770607	16771543	16765607	16776543	10936	936	T3	False	1	True	-	Liftoff
LOC105741448	LOC105741448	chr4	16836453	16837284	16831453	16842284	10831	831	T3	False	1	True	-	Liftoff
LOC101578440	LOC101578440	chr4	16957732	16958665	16952732	16963665	10933	933	T4	False	1	False	-	Liftoff
LOC111815165	LOC111815165	chr4	16980684	16981739	16975684	16986739	11055	1055	T3	False	1	True	-	Liftoff
LOC101579630	LOC101579630	chr4	16982973	16983907	16977973	16988907	10934	934	T3	False	1	True	+	Liftoff
LOC101581210	LOC101581210	chr4	17088017	17090698	17083017	17095698	12681	2681	T4	False	1	False	-	Liftoff
LOC101582372	LOC101582372	chr4	17200532	17201456	17195532	17206456	10924	924	T4	False	1	False	-	Liftoff
LOC101583192	LOC101583192	chr4	17223252	17224184	17218252	17229184	10932	932	T3	False	1	True	-	Liftoff
LOC101583961	LOC101583961	chr4	17334939	17336642	17329939	17341642	11703	1703	T3	False	1	True	-	Liftoff
LOC111815166	LOC111815166	chr4	17385145	17386075	17380145	17391075	10930	930	T3	False	1	True	+	Liftoff
LOC101584727	LOC101584727	chr4	17448227	17453803	17443227	17458803	15576	5576	T3	False	1	True	-	Liftoff
SMIM10L1	SMIM10L1	chr4	17477674	17479584	17472674	17484584	11910	1910	T3	False	2	True	+	Liftoff
LOC111815157	LOC111815157	chr4	17597170	17604822	17592170	17609822	17652	7652	T3	False	1	True	+	Liftoff
ETV6	ETV6	chr4	17802236	18029508	17797236	18034508	237272	227272	T4	False	1	False	+	Liftoff
BCL2L14	BCL2L14	chr4	18182463	18202708	18177463	18207708	30245	20245	T4	False	1	False	+	Liftoff
LRP6	LRP6	chr4	18208661	18386950	18203661	18391950	188289	178289	T4	False	1	False	-	Liftoff
LOC111815158	LOC111815158	chr4	18417069	18427051	18412069	18432051	19982	9982	T4	False	1	False	-	Liftoff
MANSC1	MANSC1	chr4	18448147	18465810	18443147	18470810	27663	17663	T3	False	1	True	-	Liftoff
ACOT13-DL3	ACOT13	chr4	18452151	18453285	18447151	18458285	11134	1134	T2	True	4	True	+	gmst
BORCS5	BORCS5	chr4	18471057	18579567	18466057	18584567	118510	108510	T3	False	1	True	+	Liftoff
DUSP16	DUSP16	chr4	18583724	18658757	18578724	18663757	85033	75033	T4	False	1	False	-	Liftoff
LOC101585517	LOC101585517	chr4	18689802	18692043	18684802	18697043	12241	2241	T4	False	1	False	+	Liftoff
CREBL2	CREBL2	chr4	18696727	18723659	18691727	18728659	36932	26932	T4	False	1	False	+	Liftoff
GPR19	GPR19	chr4	18740955	18793768	18735955	18798768	62813	52813	T4	False	1	False	-	Liftoff
CDKN1B	CDKN1B	chr4	18817578	18822563	18812578	18827563	14985	4985	T4	False	1	False	+	Liftoff
APOLD1	APOLD1	chr4	18899086	18904602	18894086	18909602	15516	5516	T4	False	1	False	+	Liftoff
LOC111815206	LOC111815206	chr4	18926150	18926253	18921150	18931253	10103	103	T4	False	1	False	-	Liftoff
DDX47	DDX47	chr4	18931203	18949163	18926203	18954163	27960	17960	T4	False	1	False	+	Liftoff
GPRC5A	GPRC5A	chr4	18997343	19020778	18992343	19025778	33435	23435	T4	False	1	False	+	Liftoff
GPRC5D	GPRC5D	chr4	19045328	19055064	19040328	19060064	19736	9736	T4	False	1	False	-	Liftoff
HEBP1	HEBP1	chr4	19077488	19106211	19072488	19111211	38723	28723	T3	False	1	True	-	Liftoff
FAM234B	FAM234B	chr4	19186720	19213698	19181720	19218698	36978	26978	T4	False	1	False	+	Liftoff
GSG1	GSG1	chr4	19211265	19232444	19206265	19237444	31179	21179	T4	False	1	False	-	Liftoff
EMP1	EMP1	chr4	19379912	19399258	19374912	19404258	29346	19346	T4	False	1	False	+	Liftoff
GRIN2B	GRIN2B	chr4	19797832	20224166	19792832	20229166	436334	426334	T4	False	1	False	-	Liftoff
LOC111815215	LOC111815215	chr4	20653441	20653574	20648441	20658574	10133	133	T3	False	1	True	-	Liftoff
ATF7IP	ATF7IP	chr4	20667176	20822343	20662176	20827343	165167	155167	T4	False	1	False	+	Liftoff
PLBD1	PLBD1	chr4	20821617	20892620	20816617	20897620	81003	71003	T3	False	1	True	-	Liftoff
GUCY2C	GUCY2C	chr4	20962579	21056830	20957579	21061830	104251	94251	T4	False	1	False	-	Liftoff
LOC101592104	LOC101592104	chr4	21086118	21087148	21081118	21092148	11030	1030	T4	False	1	False	-	Liftoff
H2AJ	H2AJ	chr4	21089128	21090594	21084128	21095594	11466	1466	T4	False	1	False	+	Liftoff
WBP11	WBP11	chr4	21109369	21129429	21104369	21134429	30060	20060	T3	False	2	True	-	Liftoff
SMCO3	SMCO3	chr4	21131720	21140622	21126720	21145622	18902	8902	T4	False	1	False	-	Liftoff
ART4	ART4	chr4	21142986	21158660	21137986	21163660	25674	15674	T4	False	1	False	-	Liftoff
MGP	MGP	chr4	21198574	21201848	21193574	21206848	13274	3274	T4	False	1	False	-	Liftoff
ERP27	ERP27	chr4	21246239	21273364	21241239	21278364	37125	27125	T4	False	1	False	-	Liftoff
ARHGDIB	ARHGDIB	chr4	21274726	21294404	21269726	21299404	29678	19678	T4	False	1	False	-	Liftoff
PDE6H	PDE6H	chr4	21303000	21319564	21298000	21324564	26564	16564	T4	False	1	False	+	Liftoff
RERG	RERG	chr4	21471928	21605600	21466928	21610600	143672	133672	T3	False	1	True	-	Liftoff
PTPRO	PTPRO	chr4	21729547	21996468	21724547	22001468	276921	266921	T4	False	1	False	+	Liftoff
EPS8	EPS8	chr4	22026115	22132902	22021115	22137902	116787	106787	T4	False	1	False	-	Liftoff
LOC111815167	LOC111815167	chr4	22156563	22245833	22151563	22250833	99270	89270	T4	False	1	False	-	Liftoff
STRAP	STRAP	chr4	22377955	22405524	22372955	22410524	37569	27569	T3	False	1	True	+	Liftoff
DERA	DERA	chr4	22420097	22532010	22415097	22537010	121913	111913	T3	False	1	True	+	Liftoff
SLC15A5	SLC15A5	chr4	22706446	22804148	22701446	22809148	107702	97702	T4	False	1	False	-	Liftoff
MGST1	MGST1	chr4	22882650	22904424	22877650	22909424	31774	21774	T4	False	1	False	+	Liftoff
LOC111815220	LOC111815220	chr4	23122701	23122806	23117701	23127806	10105	105	T4	False	1	False	+	Liftoff
LMO3	LMO3	chr4	23142570	23203465	23137570	23208465	70895	60895	T4	False	1	False	-	Liftoff
RERGL	RERGL	chr4	24577416	24588787	24572416	24593787	21371	11371	T4	False	1	False	-	Liftoff
LOC111815205	LOC111815205	chr4	24714175	24714282	24709175	24719282	10107	107	T3	False	1	True	-	Liftoff
PIK3C2G	PIK3C2G	chr4	24733543	25118238	24728543	25123238	394695	384695	T3	False	1	True	+	Liftoff
LOC111815214	LOC111815214	chr4	24800875	24801002	24795875	24806002	10127	127	T4	False	1	False	-	Liftoff
PLCZ1	PLCZ1	chr4	25145716	25215718	25140716	25220718	80002	70002	T4	False	1	False	-	Liftoff
CAPZA3	CAPZA3	chr4	25217841	25218911	25212841	25223911	11070	1070	T4	False	1	False	+	Liftoff
CCDC59-DL1	CCDC59	chr4	25391222	25394106	25386222	25399106	12884	2884	T2	True	2	True	-	AUGUSTUS
PLEKHA5	PLEKHA5	chr4	25707755	25960118	25702755	25965118	262363	252363	T3	False	1	True	+	Liftoff
AEBP2	AEBP2	chr4	25991009	26066329	25986009	26071329	85320	75320	T3	False	1	True	+	Liftoff
ADRM1-DL1	ADRM1	chr4	26343267	26344630	26338267	26349630	11363	1363	T2	True	2	True	-	AUGUSTUS
LOC111817622	LOC111817622	chr4	26658745	26658857	26653745	26663857	10112	112	T4	False	1	False	+	Liftoff
PDE3A	PDE3A	chr4	27052511	27408177	27047511	27413177	365666	355666	T4	False	1	False	+	Liftoff
SLCO1C1	SLCO1C1	chr4	27423024	27473392	27418024	27478392	60368	50368	T4	False	1	False	+	Liftoff
SLCO1B1	SLCO1B1	chr4	27502669	27587883	27497669	27592883	95214	85214	T4	False	1	False	+	Liftoff
IAPP	IAPP	chr4	27651668	27655599	27646668	27660599	13931	3931	T4	False	1	False	-	Liftoff
SLCO1A2	SLCO1A2	chr4	27726355	27781411	27721355	27786411	65056	55056	T4	False	1	False	+	Liftoff
SLCO1B3	SLCO1B3	chr4	27814550	27934665	27809550	27939665	130115	120115	T4	False	1	False	-	Liftoff
PYROXD1	PYROXD1	chr4	27936762	27959991	27931762	27964991	33229	23229	T3	False	1	True	+	Liftoff
RECQL	RECQL	chr4	27958380	27990483	27953380	27995483	42103	32103	T3	False	1	True	-	Liftoff
GOLT1B	GOLT1B	chr4	27990636	28002782	27985636	28007782	22146	12146	T3	False	1	True	+	Liftoff
SPX	SPX	chr4	28019285	28025164	28014285	28030164	15879	5879	T4	False	1	False	+	Liftoff
GYS2	GYS2	chr4	28031755	28101076	28026755	28106076	79321	69321	T4	False	1	False	-	Liftoff
LDHB	LDHB	chr4	28132934	28157447	28127934	28162447	34513	24513	T4	False	1	False	-	Liftoff
KCNJ8	KCNJ8	chr4	28242641	28247872	28237641	28252872	15231	5231	T4	False	1	False	-	Liftoff
ABCC9	ABCC9	chr4	28265392	28426102	28260392	28431102	170710	160710	T4	False	1	False	-	Liftoff
LOC111817619	LOC111817619	chr4	28333900	28334005	28328900	28339005	10105	105	T4	False	1	False	-	Liftoff
CMAS	CMAS	chr4	28501866	28524163	28496866	28529163	32297	22297	T3	False	1	True	+	Liftoff
SULT6B1-L1	SULT6B1	chr4	28553001	28588425	28548001	28593425	45424	35424	T1	True	2	False	-	Liftoff
ST8SIA1	ST8SIA1	chr4	28627955	28782220	28622955	28787220	164265	154265	T3	False	1	True	-	Liftoff
C2CD5	C2CD5	chr4	28893649	28999803	28888649	29004803	116154	106154	T3	False	1	True	-	Liftoff
SKP1-L3	SKP1	chr4	29063749	29064256	29058749	29069256	10507	507	T2	True	5	True	-	Liftoff
ETNK1	ETNK1	chr4	29101696	29165416	29096696	29170416	73720	63720	T4	False	1	False	+	Liftoff
LOC111817621	LOC111817621	chr4	29461182	29461289	29456182	29466289	10107	107	T4	False	1	False	-	Liftoff
LOC111817620	LOC111817620	chr4	30011935	30012042	30006935	30017042	10107	107	T4	False	1	False	+	Liftoff
SOX5	SOX5	chr4	30075503	30505692	30070503	30510692	440189	430189	T4	False	1	False	-	Liftoff
BCAT1	BCAT1	chr4	31362081	31437550	31357081	31442550	85469	75469	T4	False	1	False	-	Liftoff
LRMP	LRMP	chr4	31531859	31658509	31526859	31663509	136650	126650	T3	False	1	True	+	Liftoff
CASC1	CASC1	chr4	31657605	31733236	31652605	31738236	85631	75631	T4	False	1	False	-	Liftoff
ETFRF1	ETFRF1	chr4	31733332	31743047	31728332	31748047	19715	9715	T3	False	1	True	+	Liftoff
KRAS	KRAS	chr4	31743452	31774798	31738452	31779798	41346	31346	T4	False	1	False	-	Liftoff
LMNTD1	LMNTD1	chr4	32020022	32056934	32015022	32061934	46912	36912	T4	False	1	False	-	Liftoff
LOC111817634	LOC111817634	chr4	32179841	32179948	32174841	32184948	10107	107	T4	False	1	False	-	Liftoff
RASSF8	RASSF8	chr4	32484512	32633511	32479512	32638511	158999	148999	T3	False	1	True	+	Liftoff
BHLHE41	BHLHE41	chr4	32687672	32693102	32682672	32698102	15430	5430	T4	False	1	False	-	Liftoff
SSPN	SSPN	chr4	32767190	32806489	32762190	32811489	49299	39299	T4	False	1	False	+	Liftoff
ITPR2	ITPR2	chr4	32902237	33430059	32897237	33435059	537822	527822	T3	False	1	True	-	Liftoff
LOC111817623	LOC111817623	chr4	33063700	33063807	33058700	33068807	10107	107	T4	False	1	False	+	Liftoff
LOC111817605	LOC111817605	chr4	33430559	33432769	33425559	33437769	12210	2210	T4	False	1	False	+	Liftoff
INTS13	INTS13	chr4	33497415	33533283	33492415	33538283	45868	35868	T4	False	1	False	-	Liftoff
FGFR1OP2	FGFR1OP2	chr4	33533415	33548005	33528415	33553005	24590	14590	T3	False	1	True	+	Liftoff
TM7SF3	TM7SF3	chr4	33563800	33609476	33558800	33614476	55676	45676	T3	False	1	True	-	Liftoff
MED21	MED21	chr4	33627347	33640293	33622347	33645293	22946	12946	T4	False	1	False	+	Liftoff
APOL6	APOL6	chr4	33691907	33721679	33686907	33726679	39772	29772	T4	False	2	False	+	Liftoff
APOL6-L1	APOL6	chr4	33741804	33754155	33736804	33759155	22351	12351	T2	True	2	True	+	Liftoff
LOC101581297	LOC101581297	chr4	33760649	33770658	33755649	33775658	20009	10009	T3	False	1	True	+	Liftoff
RBFOX2	RBFOX2	chr4	33810127	34104239	33805127	34109239	304112	294112	T3	False	1	True	-	Liftoff
LOC101567366	LOC101567366	chr4	34198402	34199325	34193402	34204325	10923	923	T4	False	1	False	-	Liftoff
APOL3-L1	APOL3	chr4	34265088	34277150	34260088	34282150	22062	12062	T2	True	7	True	-	Liftoff
APOL3-L2	APOL3	chr4	34280891	34294483	34275891	34299483	23592	13592	T2	True	7	True	-	Liftoff
LOC111817626	LOC111817626	chr4	34298771	34298905	34293771	34303905	10134	134	T3	False	1	True	-	Liftoff
APOL2	APOL2	chr4	34408503	34417054	34403503	34422054	18551	8551	T3	False	1	True	+	Liftoff
APOL3	APOL3	chr4	34500403	34508474	34495403	34513474	18071	8071	T3	False	7	True	+	Liftoff
APOL3-L3	APOL3	chr4	34567848	34588295	34562848	34593295	30447	20447	T2	True	7	True	+	Liftoff
LOC111817631	LOC111817631	chr4	34595001	34595106	34590001	34600106	10105	105	T3	False	1	True	-	Liftoff
APOL3-L4	APOL3	chr4	34605071	34618824	34600071	34623824	23753	13753	T2	True	7	True	+	Liftoff
APOL3-L5	APOL3	chr4	34630685	34642132	34625685	34647132	21447	11447	T2	True	7	True	-	Liftoff
APOL3-L6	APOL3	chr4	34756365	34758668	34751365	34763668	12303	2303	T2	True	7	True	-	Liftoff
MYH9	MYH9	chr4	34776760	34867430	34771760	34872430	100670	90670	T3	False	1	True	-	Liftoff
SNRPE-DL6	SNRPE	chr4	34877043	34877322	34872043	34882322	10279	279	T2	True	10	True	+	AUGUSTUS
LOC111817604	LOC111817604	chr4	34925892	34929648	34920892	34934648	13756	3756	T4	False	1	False	-	Liftoff
TXN2	TXN2	chr4	34958745	34970147	34953745	34975147	21402	11402	T3	False	1	True	-	Liftoff
FOXRED2	FOXRED2	chr4	34986077	35007285	34981077	35012285	31208	21208	T4	False	1	False	-	Liftoff
EIF3D	EIF3D	chr4	35012014	35028242	35007014	35033242	26228	16228	T3	False	1	True	-	Liftoff
CACNG2	CACNG2	chr4	35061767	35175560	35056767	35180560	123793	113793	T4	False	1	False	-	Liftoff
IFT27	IFT27	chr4	35232021	35246269	35227021	35251269	24248	14248	T4	False	1	False	-	Liftoff
PVALB	PVALB	chr4	35265454	35281265	35260454	35286265	25811	15811	T4	False	1	False	-	Liftoff
NCF4	NCF4	chr4	35326394	35340978	35321394	35345978	24584	14584	T4	False	1	False	+	Liftoff
CSF2RB	CSF2RB	chr4	35375866	35399397	35370866	35404397	33531	23531	T3	False	2	True	+	Liftoff
CSF2RB-L1	CSF2RB	chr4	35405615	35419642	35400615	35424642	24027	14027	T2	True	2	True	-	Liftoff
TEX33	TEX33	chr4	35462780	35482632	35457780	35487632	29852	19852	T4	False	1	False	-	Liftoff
TST	TST	chr4	35485196	35492345	35480196	35497345	17149	7149	T4	False	1	False	-	Liftoff
MPST	MPST	chr4	35492564	35502104	35487564	35507104	19540	9540	T4	False	1	False	+	Liftoff
KCTD17	KCTD17	chr4	35531830	35534236	35526830	35539236	12406	2406	T4	False	1	False	+	Liftoff
TMPRSS6	TMPRSS6	chr4	35531908	35569382	35526908	35574382	47474	37474	T4	False	1	False	-	Liftoff
IL2RB	IL2RB	chr4	35580126	35596288	35575126	35601288	26162	16162	T4	False	1	False	-	Liftoff
C1QTNF6	C1QTNF6	chr4	35618293	35624806	35613293	35629806	16513	6513	T4	False	1	False	-	Liftoff
SSTR3	SSTR3	chr4	35634242	35636181	35629242	35641181	11939	1939	T4	False	1	False	-	Liftoff
RAC2	RAC2	chr4	35654646	35667486	35649646	35672486	22840	12840	T4	False	1	False	-	Liftoff
CYTH4	CYTH4	chr4	35699907	35724806	35694907	35729806	34899	24899	T4	False	1	False	+	Liftoff
ELFN2	ELFN2	chr4	35768628	35774249	35763628	35779249	15621	5621	T4	False	1	False	-	Liftoff
MFNG	MFNG	chr4	35854580	35870993	35849580	35875993	26413	16413	T4	False	1	False	-	Liftoff
CARD10	CARD10	chr4	35873705	35906450	35868705	35911450	42745	32745	T4	False	1	False	-	Liftoff
CDC42EP1	CDC42EP1	chr4	35941830	35949705	35936830	35954705	17875	7875	T4	False	1	False	+	Liftoff
LGALS2	LGALS2	chr4	35948055	35954599	35943055	35959599	16544	6544	T4	False	1	False	-	Liftoff
GGA1	GGA1	chr4	35988008	36008082	35983008	36013082	30074	20074	T3	False	1	True	+	Liftoff
SH3BP1	SH3BP1	chr4	36012764	36024846	36007764	36029846	22082	12082	T4	False	1	False	+	Liftoff
PDXP	PDXP	chr4	36027357	36034153	36022357	36039153	16796	6796	T4	False	1	False	+	Liftoff
LGALS1	LGALS1	chr4	36044131	36050573	36039131	36055573	16442	6442	T4	False	1	False	+	Liftoff
NOL12	NOL12	chr4	36053095	36059265	36048095	36064265	16170	6170	T3	False	1	True	+	Liftoff
TRIOBP	TRIOBP	chr4	36068861	36128426	36063861	36133426	69565	59565	T3	False	1	True	+	Liftoff
H1-0-L2	H1-0	chr4	36157888	36159979	36152888	36164979	12091	2091	T2	True	3	True	+	Liftoff
GCAT	GCAT	chr4	36160379	36171018	36155379	36176018	20639	10639	T3	False	1	True	+	Liftoff
GALR3	GALR3	chr4	36175199	36177024	36170199	36182024	11825	1825	T4	False	1	False	+	Liftoff
ANKRD54	ANKRD54	chr4	36184865	36201180	36179865	36206180	26315	16315	T4	False	1	False	-	Liftoff
EIF3L	EIF3L	chr4	36209253	36241607	36204253	36246607	42354	32354	T3	False	1	True	+	Liftoff
LOC101587201	LOC101587201	chr4	36224722	36226003	36219722	36231003	11281	1281	T3	False	1	True	+	Liftoff
MICALL1	MICALL1	chr4	36257461	36284666	36252461	36289666	37205	27205	T4	False	1	False	+	Liftoff
CUNH22ORF23	CUNH22ORF23	chr4	36285349	36301533	36280349	36306533	26184	16184	T4	False	1	False	-	Liftoff
POLR2F	POLR2F	chr4	36296750	36307594	36291750	36312594	20844	10844	T4	False	1	False	+	Liftoff
SOX10	SOX10	chr4	36311652	36321291	36306652	36326291	19639	9639	T4	False	1	False	-	Liftoff
PICK1	PICK1	chr4	36386034	36403077	36381034	36408077	27043	17043	T4	False	1	False	+	Liftoff
SLC16A8	SLC16A8	chr4	36404798	36409208	36399798	36414208	14410	4410	T4	False	1	False	-	Liftoff
BAIAP2L2	BAIAP2L2	chr4	36410639	36436299	36405639	36441299	35660	25660	T4	False	1	False	-	Liftoff
LOC111817630	LOC111817630	chr4	36415792	36415894	36410792	36420894	10102	102	T4	False	1	False	-	Liftoff
PLA2G6	PLA2G6	chr4	36437115	36462382	36432115	36467382	35267	25267	T4	False	1	False	-	Liftoff
LOC111817615	LOC111817615	chr4	36470638	36483318	36465638	36488318	22680	12680	T4	False	1	False	-	Liftoff
MAFF	MAFF	chr4	36500523	36512717	36495523	36517717	22194	12194	T4	False	1	False	+	Liftoff
TMEM184B	TMEM184B	chr4	36511932	36557187	36506932	36562187	55255	45255	T4	False	1	False	-	Liftoff
LOC101592056	LOC101592056	chr4	36569278	36602086	36564278	36607086	42808	32808	T4	False	1	False	-	Liftoff
KCNJ4	KCNJ4	chr4	36618178	36639250	36613178	36644250	31072	21072	T4	False	1	False	-	Liftoff
KDELR3	KDELR3	chr4	36648624	36659328	36643624	36664328	20704	10704	T4	False	1	False	+	Liftoff
DDX17	DDX17	chr4	36655787	36677030	36650787	36682030	31243	21243	T4	False	1	False	-	Liftoff
DMC1	DMC1	chr4	36699385	36748879	36694385	36753879	59494	49494	T4	False	1	False	-	Liftoff
FAM227A	FAM227A	chr4	36762033	36817506	36757033	36822506	65473	55473	T4	False	1	False	-	Liftoff
CBY1	CBY1	chr4	36817826	36837527	36812826	36842527	29701	19701	T4	False	1	False	+	Liftoff
TOMM22	TOMM22	chr4	36843658	36846885	36838658	36851885	13227	3227	T3	False	2	True	+	Liftoff
JOSD1	JOSD1	chr4	36847540	36863113	36842540	36868113	25573	15573	T3	False	1	True	-	Liftoff
GTPBP1	GTPBP1	chr4	36868761	36899349	36863761	36904349	40588	30588	T4	False	1	False	+	Liftoff
LOC111817614	LOC111817614	chr4	36901371	36921921	36896371	36926921	30550	20550	T4	False	1	False	+	Liftoff
SUN2	SUN2	chr4	36901385	36918624	36896385	36923624	27239	17239	T4	False	1	False	-	Liftoff
DNAL4	DNAL4	chr4	36950817	36961689	36945817	36966689	20872	10872	T4	False	1	False	-	Liftoff
NPTXR	NPTXR	chr4	36979576	36998806	36974576	37003806	29230	19230	T4	False	1	False	-	Liftoff
CBX6	CBX6	chr4	37012970	37023219	37007970	37028219	20249	10249	T4	False	1	False	-	Liftoff
LOC111817607	LOC111817607	chr4	37013070	37034377	37008070	37039377	31307	21307	T4	False	1	False	-	Liftoff
APOBEC3C	APOBEC3C	chr4	37094152	37099948	37089152	37104948	15796	5796	T3	False	1	True	+	Liftoff
LOC105742649	LOC105742649	chr4	37123919	37124269	37118919	37129269	10350	350	T4	False	1	False	-	Liftoff
APOBEC3	APOBEC3	chr4	37139115	37157940	37134115	37162940	28825	18825	T3	False	1	True	+	Liftoff
CBX7	CBX7	chr4	37173691	37188199	37168691	37193199	24508	14508	T4	False	1	False	-	Liftoff
PDGFB	PDGFB	chr4	37238934	37255763	37233934	37260763	26829	16829	T4	False	1	False	-	Liftoff
RPL3	RPL3	chr4	37301266	37308433	37296266	37313433	17167	7167	T3	False	3	True	-	Liftoff
LOC111817627	LOC111817627	chr4	37303264	37303358	37298264	37308358	10094	94	T3	False	1	True	-	Liftoff
LOC111817628	LOC111817628	chr4	37305933	37305987	37300933	37310987	10054	54	T3	False	1	True	-	Liftoff
LOC111817625	LOC111817625	chr4	37307845	37307909	37302845	37312909	10064	64	T4	False	1	False	-	Liftoff
SYNGR1	SYNGR1	chr4	37351536	37377343	37346536	37382343	35807	25807	T4	False	1	False	+	Liftoff
TAB1	TAB1	chr4	37402878	37430860	37397878	37435860	37982	27982	T4	False	1	False	+	Liftoff
MGAT3	MGAT3	chr4	37447890	37467424	37442890	37472424	29534	19534	T4	False	1	False	+	Liftoff
MIEF1	MIEF1	chr4	37481613	37509945	37476613	37514945	38332	28332	T4	False	1	False	+	Liftoff
ATF4	ATF4	chr4	37513098	37515175	37508098	37520175	12077	2077	T3	False	1	True	+	Liftoff
RPS19BP1	RPS19BP1	chr4	37518548	37523516	37513548	37528516	14968	4968	T4	False	1	False	-	Liftoff
